RSL,RSLer_up_2sd,Age,Age_up_er_2sd,RSLError,AgeError,AgeCE
-4.732269606,0.3436446377912703,5469.4875,251.51249999999982,0.17182231889563515,125.75624999999991,-3519.4875
-4.772046295,0.3437546426477178,5482.5125,243.51249999999982,0.1718773213238589,121.75624999999991,-3532.5125
-4.811821559,0.34386558728148486,5497.475,239.52499999999964,0.17193279364074243,119.76249999999982,-3547.475
-4.851600007,0.34397716257986666,5510,236,0.17198858128993333,118,-3560
-4.89137323,0.3440896366199464,5521,235,0.1720448183099732,117.5,-3571
-4.931154704,0.344202398,5540.549999999999,232.60000000000036,0.1721011991268655,116.30000000000018,-3590.55
-4.970941183,0.34431652698624315,5593,255,0.17215826349312158,127.5,-3643
-5.010731089,0.34443127915166505,5692.025,261.02500000000055,0.17221563957583252,130.51250000000027,-3742.025
-5.050516198,0.3445468616429852,5769.0125,237.01249999999982,0.1722734308214926,118.50624999999991,-3819.0125
-5.090313648,0.34466334349868566,5811.987499999999,232.03750000000036,0.17233167174934283,116.01875000000018,-3861.9875
-5.130111674,0.3447812728684787,5832.025,227.05000000000018,0.17239063643423935,113.52500000000009,-3882.025
-5.169910325,0.3448992043061927,5851.575000000001,229.59999999999945,0.17244960215309635,114.79999999999973,-3901.575
-5.20971416,0.3450180169286545,5876.425,233.57499999999982,0.17250900846432726,116.78749999999991,-3926.425
-5.249518632,0.34513724009887436,5894.5625,229.6875,0.17256862004943718,114.84375,-3944.5625
-5.289326617,0.3452577155718526,5915.5375,227.53749999999945,0.1726288577859263,113.76874999999973,-3965.5375
-5.329136603,0.34537891063182924,5935.987499999999,224.16250000000036,0.17268945531591462,112.08125000000018,-3985.9875
-5.368946419,0.3455007965488224,5959.512500000001,219.53749999999945,0.1727503982744112,109.76874999999973,-4009.5125
-5.408760694,0.34562363861353074,5982.9625,213.03750000000036,0.17281181930676537,106.51875000000018,-4032.9625
-5.44857656,0.34574760332520516,6007.0125,207.0625,0.17287380166260258,103.53125,-4057.0125
-5.488399286,0.3458717298526097,6043.025,202.02500000000055,0.17293586492630486,101.01250000000027,-4093.025
-5.528218646,0.3459973350522483,6086,187.02499999999964,0.17299866752612414,93.51249999999982,-4136
-5.568045569,0.34612357655145853,6113.525,181.52500000000055,0.17306178827572927,90.76250000000027,-4163.525
-5.607876288,0.34625017793401325,6144,172.05000000000018,0.17312508896700662,86.02500000000009,-4194
-5.647710547,0.34637858269379906,6173.5,166.5,0.17318929134689953,83.25,-4223.5
-5.687542718,0.3465067604138605,6224.487499999999,175.53750000000036,0.17325338020693026,87.76875000000018,-4274.4875
