component,modelID,RSL,RSLsd,yearBP,siteID,model_ranking
1,45,529.002484026365,1521.88734502231,1918,7,1
1,45,547.647615182679,1561.3343844776,1818,7,1
1,45,556.536299072206,1596.26545293433,1718,7,1
1,45,561.248524037655,1625.97429161757,1618,7,1
1,45,566.864946315531,1650.28241230171,1518,7,1
1,45,577.922881364357,1668.90829471263,1418,7,1
1,45,598.229737651069,1681.14207782576,1318,7,1
1,45,630.809147209395,1685.90822489015,1218,7,1
1,45,677.832261871547,1681.96988148378,1118,7,1
1,45,740.508292403538,1667.98628645415,1018,7,1
1,45,818.943684811238,1642.34702733464,918,7,1
1,45,911.872381915338,1603.05190213065,818,7,1
1,45,1016.26076604379,1547.97014027806,718,7,1
1,45,1127.11836077599,1475.48369756526,618,7,1
1,45,1237.53164472245,1385.4900424829,518,7,1
1,45,1338.82227104716,1280.68385493699,418,7,1
1,45,1420.77559745545,1168.4563402447,318,7,1
1,45,1471.78730752412,1064.15396369521,218,7,1
1,45,1478.7265202445,995.637925606139,118,7,1
1,45,1428.21430614544,1000.44123597412,18,7,1
1,45,-114457.075879858,2197.84359667977,18918,8,1
1,45,-114388.921470844,2191.38744885033,18818,8,1
1,45,-114193.465641779,2181.98435086066,18718,8,1
1,45,-113905.032087434,2170.83390478081,18618,8,1
1,45,-113560.847326774,2159.44167056504,18518,8,1
1,45,-113196.589045892,2149.65380619515,18418,8,1
1,45,-112841.903602569,2143.64809841471,18318,8,1
1,45,-112517.352781305,2143.84159306867,18218,8,1
1,45,-112235.337234571,2152.70582688049,18118,8,1
1,45,-112002.541566528,2172.55464394518,18018,8,1
1,45,-111821.33244554,2205.82187473582,17918,8,1
1,45,-111690.594446871,2255.81467774613,17818,8,1
1,45,-111606.589458233,2327.15586231241,17718,8,1
1,45,-111563.804121415,2425.33076807168,17618,8,1
1,45,-111555.785118405,2555.20915556681,17518,8,1
1,45,-111575.892857489,2719.07102794803,17418,8,1
1,45,-111617.640583066,2915.49767332159,17318,8,1
1,45,-111674.703092324,3139.62035167487,17218,8,1
1,45,-111740.892067325,3384.07633074725,17118,8,1
1,45,-111810.133349348,3640.12199493821,17018,8,1
1,45,-111876.446153481,3898.57111596362,16918,8,1
1,45,-111933.924176726,4150.45342068723,16818,8,1
1,45,-111976.718564123,4387.4251213912,16718,8,1
1,45,-111999.02270895,4602.00512543764,16618,8,1
1,45,-111995.058874522,4787.70372930399,16518,8,1
1,45,-111959.066636743,4939.09024233148,16418,8,1
1,45,-111885.293158199,5051.82786520358,16318,8,1
1,45,-111767.985316469,5122.69179086764,16218,8,1
1,45,-111601.383721617,5149.57916997395,16118,8,1
1,45,-111379.718669954,5131.51551686989,16018,8,1
1,45,-111097.208094288,5068.66012725779,15918,8,1
1,45,-110748.057583707,4962.31210172084,15818,8,1
1,45,-110326.46255983,4814.91818554174,15718,8,1
1,45,-109826.612710511,4630.0833805542,15618,8,1
1,45,-109242.698796705,4412.58474552499,15518,8,1
1,45,-108568.921963647,4168.38723662664,15418,8,1
1,45,-107799.50570363,3904.65633112813,15318,8,1
1,45,-106928.710634503,3629.75267819769,15218,8,1
1,45,-105950.852275834,3353.17426948492,15118,8,1
1,45,-104860.322023401,3085.37492907921,15018,8,1
1,45,-103651.611542353,2837.33288241728,14918,8,1
1,45,-102319.340820357,2619.69288329871,14818,8,1
1,45,-100858.290143921,2441.34531039218,14718,8,1
1,45,-99263.4362845682,2307.57846291027,14618,8,1
1,45,-97529.9962641143,2218.46621746945,14518,8,1
1,45,-95653.9868143664,2168.54762478618,14418,8,1
1,45,-93635.897400937,2148.48151893748,14318,8,1
1,45,-91486.2054480379,2147.66790575158,14218,8,1
1,45,-89228.0004560116,2156.41153759999,14118,8,1
1,45,-86896.3515438101,2167.2239764756,14018,8,1
1,45,-84535.4383092907,2175.36458525444,13918,8,1
1,45,-82194.3704576246,2178.78425298489,13818,8,1
1,45,-79922.2587276885,2177.62586888554,13718,8,1
1,45,-77763.2071437102,2173.38503511315,13618,8,1
1,45,-75751.3220710938,2167.91052938897,13518,8,1
1,45,-73906.8660244453,2162.61323963725,13418,8,1
1,45,-72236.503680074,2158.37279824927,13318,8,1
1,45,-70736.5375697807,2155.86696891684,13218,8,1
1,45,-69396.473366432,2155.699086194,13118,8,1
1,45,-68202.3904426578,2158.18055840916,13018,8,1
1,45,-67139.3299230649,2163.0264964703,12918,8,1
1,45,-66192.2148037371,2169.20044699849,12818,8,1
1,45,-65345.5274066462,2175.06054513246,12718,8,1
1,45,-64582.5641443498,2178.927585092,12618,8,1
1,45,-63885.3619079372,2180.19390581728,12518,8,1
1,45,-63235.1247279589,2180.58812863182,12418,8,1
1,45,-62612.6826503207,2185.09166675138,12318,8,1
1,45,-61998.9480993364,2202.08584029463,12218,8,1
1,45,-61375.3748784116,2242.32172284863,12118,8,1
1,45,-60724.5018494732,2316.61007919173,12018,8,1
1,45,-60030.7949401701,2432.94700361953,11918,8,1
1,45,-59281.4658559426,2594.14120925508,11818,8,1
1,45,-58466.5927523652,2797.22556763155,11718,8,1
1,45,-57578.871615054,3034.67931460507,11618,8,1
1,45,-56613.3633755982,3296.34788379609,11518,8,1
1,45,-55567.2589580724,3571.14835090838,11418,8,1
1,45,-54439.660728722,3848.20279565084,11318,8,1
1,45,-53231.3788991342,4117.45271724195,11218,8,1
1,45,-51944.7415054098,4369.93685841282,11118,8,1
1,45,-50583.4166518323,4597.88976616839,11018,8,1
1,45,-49152.2457681714,4794.75854402175,10918,8,1
1,45,-47657.0866841751,4955.18835153377,10818,8,1
1,45,-46104.6653744868,5074.99959996123,10718,8,1
1,45,-44502.4352711908,5151.166159397,10618,8,1
1,45,-42858.4430806616,5181.79706954264,10518,8,1
1,45,-41181.200075755,5166.12234223935,10418,8,1
1,45,-39479.5578639619,5104.48234442655,10318,8,1
1,45,-37762.5876576288,4998.31993317124,10218,8,1
1,45,-36039.4620924508,4850.17545555994,10118,8,1
1,45,-34319.3386565901,4663.68408071293,10018,8,1
1,45,-32611.2438039761,4443.57547516121,9918,8,1
1,45,-30923.9568317286,4195.67401855181,9818,8,1
1,45,-29265.8926025569,3926.89584671551,9718,8,1
1,45,-27644.9823813643,3645.23068459196,9618,8,1
1,45,-26068.5674518284,3359.68715398711,9518,8,1
1,45,-24543.3632346867,3080.15923700648,9418,8,1
1,45,-23075.4716454893,2817.09578482303,9318,8,1
1,45,-21670.3939203052,2580.7860111476,9218,8,1
1,45,-20333.0391487228,2380.08372798088,9118,8,1
1,45,-19067.7284164452,2220.58876626634,9018,8,1
1,45,-17878.1943910089,2102.79480467443,8918,8,1
1,45,-16767.5683183009,2021.28392458433,8818,8,1
1,45,-15738.2850942304,1966.22475162672,8718,8,1
1,45,-14791.8835441461,1926.64394095964,8618,8,1
1,45,-13928.7825101898,1893.34588533193,8518,8,1
1,45,-13148.0482913014,1860.43717111917,8418,8,1
1,45,-12447.1492832638,1825.45398437306,8318,8,1
1,45,-11821.6946803331,1788.53794851427,8218,8,1
1,45,-11265.1558032874,1751.16606220194,8118,8,1
1,45,-10768.6577156796,1714.92249413928,8018,8,1
1,45,-10321.5595864113,1680.78551697118,7918,8,1
1,45,-9913.93499409594,1649.08270976926,7818,8,1
1,45,-9538.57080028439,1619.68287147039,7718,8,1
1,45,-9193.54646919807,1591.94568197713,7618,8,1
1,45,-8887.15235754894,1564.47536002134,7518,8,1
1,45,-8634.37105203187,1535.41810307324,7418,8,1
1,45,-8444.39689416625,1502.94717805203,7318,8,1
1,45,-8316.99856684217,1465.34808762498,7218,8,1
1,45,-8246.93581801234,1420.71999940875,7118,8,1
1,45,-8228.11956495093,1366.45214810267,7018,8,1
1,45,-8255.2325627259,1299.37114933007,6918,8,1
1,45,-8320.52609229274,1216.85165247118,6818,8,1
1,45,-8407.91796808783,1118.38350440374,6718,8,1
1,45,-8487.24315166334,1007.66074162241,6618,8,1
1,45,-8513.40550196217,896.074494462198,6518,8,1
1,45,-8430.22467143275,807.59477512156,6418,8,1
1,45,-8199.86916403379,771.038022441201,6318,8,1
1,45,-7869.78497804841,792.276666953206,6218,8,1
1,45,-7486.6229014867,858.930417605745,6118,8,1
1,45,-7076.83289484726,945.724872498074,6018,8,1
1,45,-6660.48489079485,1041.29680667328,5918,8,1
1,45,-6249.52290923148,1139.86456743439,5818,8,1
1,45,-5844.70207668934,1231.69921082936,5718,8,1
1,45,-5441.992990606,1311.69834053125,5618,8,1
1,45,-5036.58323207963,1378.98897999803,5518,8,1
1,45,-4627.63040582696,1435.03394080141,5418,8,1
1,45,-4221.09442536626,1482.02521464453,5318,8,1
1,45,-3827.52690885356,1521.96467712711,5218,8,1
1,45,-3457.95055594435,1556.03184500716,5118,8,1
1,45,-3120.36871933285,1584.54848683383,5018,8,1
1,45,-2818.9461087971,1607.43465769665,4918,8,1
1,45,-2554.33061977429,1624.76558035192,4818,8,1
1,45,-2324.71978106163,1637.10089406924,4718,8,1
1,45,-2127.28074124083,1645.31613522946,4618,8,1
1,45,-1959.54952310445,1650.10459591902,4518,8,1
1,45,-1819.72997739632,1651.61673265584,4418,8,1
1,45,-1705.6171488096,1649.55676354185,4318,8,1
1,45,-1613.77170865331,1643.63715264466,4218,8,1
1,45,-1539.57213289523,1633.98005510161,4118,8,1
1,45,-1477.93057032721,1621.01543595529,4018,8,1
1,45,-1424.6842261455,1604.94468061652,3918,8,1
1,45,-1377.85834152997,1585.26579598815,3818,8,1
1,45,-1337.55389854312,1560.85302308259,3718,8,1
1,45,-1304.30927580921,1530.22739148931,3618,8,1
1,45,-1276.83995229006,1491.63110604072,3518,8,1
1,45,-1251.42949959403,1443.72508393722,3418,8,1
1,45,-1222.54624895006,1387.10015603579,3318,8,1
1,45,-1183.59570197668,1326.14803670276,3218,8,1
1,45,-1127.88586037327,1270.83521590288,3118,8,1
1,45,-1050.03122342564,1237.1729889572,3018,8,1
1,45,-947.05877957819,1241.47289500086,2918,8,1
1,45,-816.440650657751,1277.33544210605,2818,8,1
1,45,-659.034476968925,1326.52511730384,2718,8,1
1,45,-480.078208729159,1373.29805218527,2618,8,1
1,45,-287.663417166565,1406.56228297702,2518,8,1
1,45,-91.2347385264002,1419.73298087501,2418,8,1
1,45,99.8653688784689,1409.8348000935,2318,8,1
1,45,277.740030492656,1376.56253716563,2218,8,1
1,45,436.742959027644,1321.73056926807,2118,8,1
1,45,573.324136198033,1249.5686649975,2018,8,1
1,45,685.131293105893,1168.05257902352,1918,8,1
1,45,769.907038279343,1091.4089224418,1818,8,1
1,45,824.155374378897,1042.89368226611,1718,8,1
1,45,842.433242666069,1051.31522268568,1618,8,1
1,45,828.969674853142,1116.54885507377,1518,8,1
1,45,796.846618397627,1210.89813721601,1418,8,1
