"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","upr","lwr","rate_pred","rate_upr","rate_lwr","CI"
"12",",
 ","ProxyRecord",-5596.0125,7546.0125,"BP",-9.44445095360904,-9.49483501667942,-9.39274082954291,4.70445946729784,4.45803671254136,4.97359020036322,"95%"
"13",",
 ","ProxyRecord",-5546.0125,7496.0125,"BP",-9.21685946237112,-9.27171777764493,-9.16248088091494,4.38702338053691,4.19834876564973,4.59159456290347,"95%"
"14",",
 ","ProxyRecord",-5496.0125,7446.0125,"BP",-9.00547161110953,-9.06276678592994,-8.94624699582995,4.07495711190725,3.9193974283418,4.22361730309077,"95%"
"15",",
 ","ProxyRecord",-5446.0125,7396.0125,"BP",-8.80871788233543,-8.86562737903565,-8.74839035946606,3.80165848103736,3.66112693420775,3.93906422090045,"95%"
"16",",
 ","ProxyRecord",-5396.0125,7346.0125,"BP",-8.62465989416075,-8.6807248065598,-8.56679426181989,3.56712748793067,3.41527841557839,3.72061840877199,"95%"
"17",",
 ","ProxyRecord",-5346.0125,7296.0125,"BP",-8.45135926469739,-8.50551747646727,-8.39770229144121,3.37136413258557,3.19529943880162,3.5463405013668,"95%"
"18",",
 ","ProxyRecord",-5296.0125,7246.0125,"BP",-8.28687761205727,-8.33670128633872,-8.23589505686192,3.21436841500036,3.02166071944592,3.40695332194188,"95%"
"19",",
 ","ProxyRecord",-5246.0125,7196.0125,"BP",-8.1292765543523,-8.17753317631241,-8.08100556805229,3.09614033517849,2.88712346166298,3.29911077246346,"95%"
"20",",
 ","ProxyRecord",-5196.0125,7146.0125,"BP",-7.9766177096944,-8.02389095423065,-7.92863414057678,3.01667989311838,2.80327669831223,3.21924869545732,"95%"
"21",",
 ","ProxyRecord",-5146.0125,7096.0125,"BP",-7.82696269619548,-7.87434696234173,-7.77936590537723,2.97598708881985,2.76952404393858,3.17510054114829,"95%"
"22",",
 ","ProxyRecord",-5096.0125,7046.0125,"BP",-7.67837313196745,-7.72638223137054,-7.62800921339916,2.97406192228193,2.780218405206,3.15726116200857,"95%"
"23",",
 ","ProxyRecord",-5046.0125,6996.0125,"BP",-7.52891063512223,-7.57981199688274,-7.47899145455644,3.01090439350698,2.8478497927788,3.17684708519137,"95%"
"24",",
 ","ProxyRecord",-4996.0125,6946.0125,"BP",-7.37663682377173,-7.42975240419646,-7.32548227015511,3.08651450249321,2.94476658861733,3.24337070683377,"95%"
"25",",
 ","ProxyRecord",-4946.0125,6896.0125,"BP",-7.21982101763692,-7.27310851236913,-7.1698248914926,3.18240392658983,3.03545810279804,3.33500894869415,"95%"
"26",",
 ","ProxyRecord",-4896.0125,6846.0125,"BP",-7.05908180907236,-7.10985460401893,-7.00894844813029,3.24006790399827,3.0695458985597,3.41357366126643,"95%"
"27",",
 ","ProxyRecord",-4846.0125,6796.0125,"BP",-6.89652302753599,-6.94635018706824,-6.84609288739504,3.25518684546153,3.06496251132728,3.45184165677108,"95%"
"28",",
 ","ProxyRecord",-4796.0125,6746.0125,"BP",-6.73427192482509,-6.78288440452569,-6.68448447842518,3.22776075098012,3.01997638745198,3.44344754954492,"95%"
"29",",
 ","ProxyRecord",-4746.0125,6696.0125,"BP",-6.57445575273693,-6.62222685725651,-6.52370167230765,3.15778962055151,2.93658959903186,3.38088045556857,"95%"
"30",",
 ","ProxyRecord",-4696.0125,6646.0125,"BP",-6.4192017630688,-6.46915925187122,-6.36587858355834,3.04527345417897,2.82345213170729,3.27614777520959,"95%"
"31",",
 ","ProxyRecord",-4646.0125,6596.0125,"BP",-6.27063720761798,-6.32615345417653,-6.21356127829813,2.89021225186039,2.67279722139494,3.11706521602002,"95%"
"32",",
 ","ProxyRecord",-4596.0125,6546.0125,"BP",-6.13088933818175,-6.19202110376064,-6.06928269321666,2.69260601359544,2.48642089670449,2.90307675574574,"95%"
"33",",
 ","ProxyRecord",-4546.0125,6496.0125,"BP",-6.00208540655738,-6.06981067626987,-5.93604660995348,2.45245473938561,2.27109806776559,2.64487908714401,"95%"
