component,modelID,RSL,RSLsd,yearBP,siteID,model_ranking
1,1,-553.183204472065,1925.07392386481,3118,2,2
1,1,-567.778560321778,1953.62585959116,3018,2,2
1,1,-557.437384523451,1976.79410152949,2918,2,2
1,1,-520.309019129723,1996.25195201642,2818,2,2
1,1,-462.040769994259,2012.09968728994,2718,2,2
1,1,-389.280949924141,2024.25360660696,2618,2,2
1,1,-308.306793652475,2032.88329000189,2518,2,2
1,1,-225.179932191037,2038.4793633721,2418,2,2
1,1,-145.126592437737,2041.90081609,2318,2,2
1,1,-71.3754099253565,2044.55014681126,2218,2,2
1,1,-7.9594599539414,2047.30152675593,2118,2,2
1,1,40.3901093583554,2050.13114867502,2018,2,2
1,1,72.1153545491397,2052.9908752745,1918,2,2
1,1,87.5850164340809,2055.62339926101,1818,2,2
1,1,86.9645230034366,2056.95311353548,1718,2,2
1,1,71.906720597297,2055.96126731984,1618,2,2
1,1,45.5972117520869,2051.99177681287,1518,2,2
1,1,12.1421970808879,2044.797853481,1418,2,2
1,1,-24.1838460722938,2034.55351205606,1318,2,2
1,1,-58.8732100808993,2022.11993493368,1218,2,2
1,1,-87.1858169371262,2009.0369494621,1118,2,2
1,1,-104.342542967759,1996.78658440339,1018,2,2
1,1,-105.144406797364,1986.39950902835,918,2,2
1,1,-81.5782542470843,1979.82049695144,818,2,2
1,1,-29.852510413155,1977.29695754676,718,2,2
1,1,40.7481620796025,1974.55828244263,618,2,2
1,1,122.869732597843,1968.31159508839,518,2,2
1,1,210.839084715582,1955.74649259581,418,2,2
1,1,298.324796922505,1935.55314219598,318,2,2
1,1,377.157925909385,1909.16224576007,218,2,2
1,1,435.509622496553,1883.35480356075,118,2,2
1,1,460.58839829918,1871.09590156753,18,2,2
1,1,-113785.026823006,2560.12781635744,18918,3,2
1,1,-113794.029625389,2556.43919618444,18818,3,2
1,1,-113712.924577683,2551.71988074469,18718,3,2
1,1,-113559.202038353,2546.70689634226,18618,3,2
1,1,-113352.931797587,2542.44433392002,18518,3,2
1,1,-113114.80462842,2540.18605581554,18418,3,2
1,1,-112864.045183214,2541.3712417364,18318,3,2
1,1,-112616.759769753,2547.64299430106,18218,3,2
1,1,-112385.696401465,2560.87325066251,18118,3,2
1,1,-112180.609007254,2583.14246979212,18018,3,2
1,1,-112008.495669672,2616.77141432648,17918,3,2
1,1,-111873.863429312,2664.3876678792,17818,3,2
1,1,-111779.041095636,2728.8169596394,17718,3,2
1,1,-111724.484021638,2812.69204263833,17618,3,2
1,1,-111709.069264921,2917.80772118996,17518,3,2
1,1,-111730.368332984,3044.41193452585,17418,3,2
1,1,-111784.83451658,3190.86852762175,17318,3,2
1,1,-111867.921378944,3353.81092112955,17218,3,2
1,1,-111974.189589576,3528.55068891553,17118,3,2
1,1,-112097.409439938,3709.57351749513,17018,3,2
1,1,-112230.659632223,3891.00646844558,16918,3,2
1,1,-112366.422909612,4066.9970957349,16818,3,2
1,1,-112496.67908607,4231.99168617097,16718,3,2
1,1,-112612.996025959,4380.92568898382,16618,3,2
1,1,-112706.619117329,4509.34789649331,16518,3,2
1,1,-112768.559778889,4613.4989411785,16418,3,2
1,1,-112789.683538192,4690.36017180011,16318,3,2
