component,modelID,df2s,dsd2s,yearBP,siteID,model_ranking
1,1,21.5849262154056,15.7210877970071,14268,1,2
1,1,22.1686252353946,15.6922205672287,14168,1,2
1,1,22.4820526633785,15.6700156543492,14068,1,2
1,1,22.4890690403571,15.6548038142816,13968,1,2
1,1,22.1724704984436,15.6460810494328,13868,1,2
1,1,21.5381742856651,15.6426138717024,13768,1,2
1,1,20.615682046907,15.6427023015514,13668,1,2
1,1,19.4580216772762,15.6446137450597,13568,1,2
1,1,18.1370171846263,15.6470557498187,13468,1,2
1,1,16.7267279693018,15.6493355048167,13368,1,2
1,1,15.2916615959537,15.6511090791261,13268,1,2
1,1,13.8855665342044,15.6521641809858,13168,1,2
1,1,12.551842750432,15.6524528654525,13068,1,2
1,1,11.3249468164146,15.6522699008053,12968,1,2
1,1,10.2335077671428,15.6523770148742,12868,1,2
1,1,9.30292872986754,15.6540247857692,12768,1,2
1,1,8.55567285290922,15.6588755426561,12668,1,2
1,1,8.00849884189668,15.6687358697965,12568,1,2
1,1,7.67065275863747,15.685044592065,12468,1,2
1,1,7.54378078363831,15.7083917210132,12368,1,2
1,1,7.62193743237291,15.7382381585753,12268,1,2
1,1,7.89155319981281,15.7728904958951,12168,1,2
1,1,8.33150609524917,15.8097432954896,12068,1,2
1,1,8.91404459747481,15.8457221757287,11968,1,2
1,1,9.60701041624883,15.8777452729317,11868,1,2
1,1,10.3786402245518,15.9033461131509,11768,1,2
1,1,11.1999777738843,15.9209859427794,11668,1,2
1,1,12.0448715373314,15.9300482544435,11568,1,2
1,1,12.88982879485,15.9307463030979,11468,1,2
1,1,13.7138833257742,15.9239841748219,11368,1,2
1,1,14.4984762429074,15.9111913334531,11268,1,2
1,1,15.2273495438974,15.8941453910426,11168,1,2
1,1,15.8864519939851,15.8747943671763,11068,1,2
1,1,16.4638570066635,15.8550875114536,10968,1,2
1,1,16.949692220306,15.8368224324631,10868,1,2
1,1,17.336080518933,15.8215154209434,10768,1,2
1,1,17.6170922794007,15.8103007998676,10668,1,2
1,1,17.7887086754758,15.803864157143,10568,1,2
1,1,17.8487958969362,15.8024126156354,10468,1,2
1,1,17.797090196386,15.8056835248069,10368,1,2
1,1,17.6351937010884,15.8129907309984,10268,1,2
1,1,17.3665809796471,15.8233054762748,10168,1,2
1,1,16.9966163825989,15.8353668475199,10068,1,2
1,1,16.5325822286681,15.8478149529224,9968,1,2
1,1,15.9837179363985,15.859338279647,9868,1,2
1,1,15.3612702625804,15.8688251938708,9768,1,2
1,1,14.6785496776551,15.8755073459835,9668,1,2
1,1,13.9505788746849,15.8790540886763,9568,1,2
1,1,13.1921763630211,15.8794893307935,9468,1,2
1,1,12.4166285485029,15.8770148201246,9368,1,2
1,1,11.6356380210631,15.8718892323084,9268,1,2
1,1,10.8593912700936,15.8643558771634,9168,1,2
1,1,10.0966196531616,15.8546193307133,9068,1,2
1,1,9.35465425837786,15.8428681292104,8968,1,2
1,1,8.63953772559763,15.8293249463498,8868,1,2
1,1,7.95668507410215,15.8142395375811,8768,1,2
1,1,7.3118159039691,15.7978103492087,8668,1,2
1,1,6.71156345941127,15.7801101819665,8568,1,2
1,1,6.16380133580416,15.7610788691952,8468,1,2
1,1,5.67772313449532,15.7406291085201,8368,1,2
1,1,5.26388568433002,15.7188237084543,8268,1,2
1,1,4.93451337015256,15.6960963387808,8168,1,2
1,1,4.7035697600618,15.6734556937673,8068,1,2
1,1,4.57184372084216,15.652159609724,7968,1,2
1,1,4.51069376347587,15.6332520926829,7868,1,2
1,1,4.48398357629776,15.6172433746468,7768,1,2
1,1,4.46330240365118,15.6041108621517,7668,1,2
1,1,4.43107578536495,15.593764442321,7568,1,2
1,1,4.36689775096252,15.5863448637675,7468,1,2
1,1,4.23853174183518,15.5823572924047,7368,1,2
1,1,3.97804230269045,15.5825950667182,7268,1,2
1,1,3.45088669212535,15.5835133555176,7168,1,2
1,1,2.89937364894897,15.5755536560645,7068,1,2
1,1,2.57469880513847,15.5710877923065,6968,1,2
1,1,2.33895682122559,15.5712033360923,6868,1,2
1,1,2.12790499504656,15.5735098936921,6768,1,2
1,1,1.92898610359058,15.5747304120084,6668,1,2
1,1,1.80915762472898,15.5749275151414,6568,1,2
1,1,1.77920079238713,15.5746355606245,6468,1,2
1,1,1.7975219858624,15.5724785899846,6368,1,2
