"","year","lat","lon","mhhw(m)","mhw(m)","mtl(m)","mlw(m)","mllw(m)","range(m)","HAT(m)","model"
"72",2,17.4,-88.07,0.00124064171122995,0.00101111111111111,0,-0.00119667590027701,-0.00140740740740741,0.00267287234042554,0.0024157894736842,"Hill et al. (2011)"
"73",2,16.8,-88.08,0.00121739130434783,0.0011558073654391,NA,-0.00117514124293785,-0.00161725067385445,0.00285791610284167,0.00274685816876119,"Hill et al. (2011)"
"74",2,16.83,-88.11,0.00107407407407407,0.00100275482093664,0,-0.00103561643835617,-0.00140731070496083,0.00248357424441525,0.00190689655172413,"Hill et al. (2011)"
"75",2,17.48,-87.82,0.00141573033707865,0.00116959064327485,0,-0.00134999999999999,-0.00205056179775281,0.00326123595505617,0.00329323308270676,"Hill et al. (2011)"
"76",2,17.9148,87.9895,0.00127472527472527,0.00116571428571428,5e-04,-0.00137463976945245,-0.00204419889502763,0.0030866574965612,0.00294927536231882,"Hill et al. (2011)"
"77",2,17.9405,87.9559,0.00125966850828729,0.00117241379310345,0,-0.00135652173913044,-0.00184487534626039,0.00308022130013832,0.00295072992700729,"Hill et al. (2011)"
"78",2,17.9895,87.9633,0.00125966850828729,0.00117241379310345,0,-0.00150724637681159,-0.00184487534626039,0.00326141078838174,0.00267272727272727,"Hill et al. (2011)"
"79",2,17.948,88.113,0.000976377952755902,0.000901639344262295,0.000666666666666667,-0.00161111111111111,-0.00212201591511936,0.00299736147757257,0.00184333333333334,"Hill et al. (2011)"
"80",2,17.864,88.041,0.00127567567567568,0.00117183098591549,5e-04,-0.00154285714285714,-0.00207650273224044,0.00327717391304347,0.00266429840142096,"Hill et al. (2011)"
"81",3,16.78,-87.86,0.00109497206703911,0.0010204081632653,0,-0.00106432748538011,-0.00123333333333334,0.00237186629526462,0.00360707635009311,"Hill et al. (2011)"
"82",3,16.75,-87.8,0.00111764705882353,0.00104081632653061,0,-0.000912280701754378,-0.00146239554317548,0.00237517433751744,0.0033296089385475,"Hill et al. (2011)"
"83",3,16.78,-87.83,0.00109497206703911,0.00104081632653061,0,-0.00106432748538011,-0.00144289693593315,0.002557880055788,0.0033296089385475,"Hill et al. (2011)"
"84",3,17.2,-87.53,0.00112394366197183,0.00104692082111436,0,-0.000917647058823523,-0.00147471910112359,0.00241011235955058,0.00335459662288931,"Hill et al. (2011)"
"85",3,17.33,-87.79,0.00110112359550562,0.00102339181286549,0,-0.000897360703812307,-0.00143137254901961,0.00253295932678821,0.0033095684803002,"Hill et al. (2011)"
"86",3,17.55,-87.75,0.00110422535211268,0.00102639296187682,0,-0.00105309734513274,-0.00143943661971831,0.00235864978902953,0.0035811320754717,"Hill et al. (2011)"
"87",3,16.9,-88.06,0.000915531335149863,0.000869318181818179,NA,-0.000736543909348443,-0.00101351351351352,0.00197014925373135,0.00218312387791739,"Hill et al. (2011)"
"88",3,17.06,-88,0.000928176795580112,0.000862068965517243,NA,-0.000899135446685878,-0.00121978021978023,0.00214876033057851,0.00272893772893773,"Hill et al. (2011)"
"89",3,17.23,-88.05,0.000915531335149863,0.000722379603399437,0.001,-0.000598870056497176,-0.000808625336927229,0.00159756097560976,0.0018942652329749,"Hill et al. (2011)"
"90",3,17.47,-88.04,0.000765027322404375,0.000871794871794875,NA,-0.000891428571428571,-0.00100817438692098,0.0019535519125683,0.00270909090909091,"Hill et al. (2011)"
"91",3,16.45,-88.03,0.000939560439560443,0.000874285714285716,-Inf,-0.000893982808022921,-0.00122615803814714,0.0021639344262295,0.0030455373406193,"Hill et al. (2011)"
"92",3,16.8,-88.08,0.000760869565217391,0.000866855524079321,NA,-0.000587570621468927,-0.00101078167115903,0.00178619756427606,0.00247217235188507,"Hill et al. (2011)"
"93",3,16.1,-88.25,0.00109315068493151,0.000854700854700859,0,-0.00102292263610315,-0.00121951219512195,0.00233787465940055,0.00331636363636365,"Hill et al. (2011)"
"94",3,16.26,-88.17,0.000936986301369867,0.001,0,-0.000893982808022921,-0.00122282608695652,0.00216098226466577,0.00332240437158471,"Hill et al. (2011)"
"95",3,16.96,-88.05,0.000774456521739131,0.000866855524079321,NA,-0.000748587570621469,-0.000806451612903228,0.00160540540540541,0.00191249999999998,"Hill et al. (2011)"
"96",3,17.47,-88.04,0.000765027322404375,0.000871794871794875,NA,-0.000891428571428571,-0.00100817438692098,0.0019535519125683,0.00270909090909091,"Hill et al. (2011)"
"97",3,16.96,-88.05,0.000774456521739131,0.000866855524079321,NA,-0.000748587570621469,-0.000806451612903228,0.00160540540540541,0.00191249999999998,"Hill et al. (2011)"
"98",3,16.84,-87.76,0.00111764705882353,0.00104081632653061,0,-0.0010674486803519,-0.00125348189415042,0.00237849162011172,0.0033358208955224,"Hill et al. (2011)"
"99",3,16.89,-87.77,0.00109803921568628,0.00104081632653061,0,-0.0010674486803519,-0.00123676880222841,0.00237849162011172,0.0033358208955224,"Hill et al. (2011)"
"100",3,16.74,-87.84,0.00109497206703911,0.00104081632653061,0,-0.00106432748538011,-0.00125,0.002557880055788,0.00360707635009311,"Hill et al. (2011)"
"101",3,17.39,-87.49,0.00112394366197183,0.00105,0,-0.00107374631268436,-0.00147887323943661,0.00260281690140846,0.00334463276836158,"Hill et al. (2011)"
"102",3,17.39,-87.53,0.00112394366197183,0.00105,0,-0.00107374631268436,-0.00145915492957746,0.00258309859154929,0.00334463276836158,"Hill et al. (2011)"
"103",3,17.15,-87.61,0.00112078651685393,0.00104692082111436,0,-0.00107058823529411,-0.00147058823529411,0.00257223001402523,0.00363414634146342,"Hill et al. (2011)"
"104",3,17.48,-87.83,0.00110112359550562,0.000877192982456136,0,-0.00105,-0.00143539325842697,0.00253651685393258,0.00329323308270676,"Hill et al. (2011)"
"105",3,17.25,-87.93,0.00109497206703911,0.000872093023255818,0,-0.0010438596491228,-0.00122005571030641,0.0023389121338912,0.00329104477611941,"Hill et al. (2011)"
"106",3,17.38,-87.92,0.00109803921568628,0.0010204081632653,0,-0.000894736842105254,-0.00122346368715084,0.00250629370629371,0.00328089887640451,"Hill et al. (2011)"
"107",3,17.36,-87.88,0.00109803921568628,0.00087463556851311,0,-0.00104692082111436,-0.00122346368715084,0.00252941176470589,0.00328089887640451,"Hill et al. (2011)"
"108",3,16.9,-88.09,0.000606382978723403,0.000720221606648197,0,-0.000445054945054944,-0.000403141361256548,0.00106860158311345,0.00108650519031142,"Hill et al. (2011)"
"109",3,16.84,-88.1,0.000607999999999997,0.000577777777777781,0.001,-0.000598337950138507,-0.000609498680738785,0.00142175066312997,0.00136125654450261,"Hill et al. (2011)"
"110",3,16.83,-88.1,0.000762032085561498,0.000577777777777781,0.001,-0.000598337950138507,-0.000609498680738785,0.00142363877822047,0.00136363636363637,"Hill et al. (2011)"
"111",3,16.63,-88.2,0.000301790281329921,0.000432000000000002,0,-0.00029708222811671,-0.000202020202020203,0.000707379134860048,0.000824120603015066,"Hill et al. (2011)"
"112",3,17.4,-88.07,0.000775401069518719,0.000577777777777781,0.001,-0.000598337950138507,-0.000603174603174605,0.00142553191489361,0.00161052631578948,"Hill et al. (2011)"
"113",3,16.8,-88.08,0.000760869565217391,0.000866855524079321,NA,-0.000587570621468927,-0.00101078167115903,0.00178619756427606,0.00247217235188507,"Hill et al. (2011)"
"114",3,16.83,-88.11,0.000613756613756615,0.000573002754820938,0,-0.000443835616438355,-0.000402088772845949,0.00106438896189226,0.0010896551724138,"Hill et al. (2011)"
"115",3,17.48,-87.82,0.00110112359550562,0.000877192982456136,0,-0.00105,-0.00143539325842697,0.00253651685393258,0.00329323308270676,"Hill et al. (2011)"
"116",3,17.9148,87.9895,0.000956043956043956,0.000728571428571433,5e-04,-0.00106916426512969,-0.00143093922651934,0.00217881705639614,0.00268115942028985,"Hill et al. (2011)"
"117",3,17.9405,87.9559,0.00094475138121547,0.000732758620689652,0,-0.00105507246376812,-0.00122991689750693,0.00217427385892116,0.00268248175182481,"Hill et al. (2011)"
"118",3,17.9895,87.9633,0.00094475138121547,0.000732758620689652,0,-0.00105507246376812,-0.00143490304709142,0.0023554633471646,0.00267272727272727,"Hill et al. (2011)"
"119",3,17.948,88.113,0.000488188976377951,0.000450819672131147,0.000666666666666667,-0.00128888888888889,-0.00148541114058355,0.00187335092348284,0.00131666666666666,"Hill et al. (2011)"
"120",3,17.864,88.041,0.0007972972972973,0.000732394366197181,5e-04,-0.00123428571428572,-0.00145355191256831,0.00218478260869565,0.00239786856127885,"Hill et al. (2011)"
