"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","upr","lwr","rate_pred","rate_upr","rate_lwr","CI"
"61",",
 ","ProxyRecord",-3146.0125,5096.0125,"BP",-3.42596696049406,-3.53773100145415,-3.32028601283494,1.41578159767662,0.664144453461939,2.0873169312621,"95%"
"62",",
 ","ProxyRecord",-3096.0125,5046.0125,"BP",-3.36827812350515,-3.49662370294328,-3.24541837673136,0.884067304658853,0.13395150313258,1.60128373596764,"95%"
"63",",
 ","ProxyRecord",-3046.0125,4996.0125,"BP",-3.33487009418709,-3.48038799820499,-3.19544531220329,0.471242025190358,-0.267710021939586,1.1696795225117,"95%"
"64",",
 ","ProxyRecord",-2996.0125,4946.0125,"BP",-3.31909256758026,-3.47733697775112,-3.1691016050256,0.20645755443592,-0.482609897764996,0.870466677610786,"95%"
"65",",
 ","ProxyRecord",-2946.0125,4896.0125,"BP",-3.31232989544994,-3.47701573720973,-3.15218539711135,0.0932879075547056,-0.553523502463105,0.717861584387861,"95%"
"66",",
 ","ProxyRecord",-2896.0125,4846.0125,"BP",-3.30725119989112,-3.47216486980688,-3.14094003835679,0.114905187969849,-0.520632745273079,0.749342141329937,"95%"
"67",",
 ","ProxyRecord",-2846.0125,4796.0125,"BP",-3.29818553158399,-3.46100832102145,-3.13672697978162,0.243898063009012,-0.392528709983548,0.922953245623618,"95%"
"68",",
 ","ProxyRecord",-2796.0125,4746.0125,"BP",-3.28097449568975,-3.43575744036182,-3.12450259218542,0.448007997172652,-0.246207696445619,1.16574027396171,"95%"
"69",",
 ","ProxyRecord",-2746.0125,4696.0125,"BP",-3.25299301276389,-3.39790801634274,-3.10808705122496,0.692956414324557,-0.035058310359411,1.41881949580374,"95%"
"70",",
 ","ProxyRecord",-2696.0125,4646.0125,"BP",-3.2128004750566,-3.34258925305875,-3.08142327290493,0.932855501072126,0.187486079105975,1.67749663078056,"95%"
"71",",
 ","ProxyRecord",-2646.0125,4596.0125,"BP",-3.16087210827322,-3.27819920286626,-3.03947397048078,1.13167562557198,0.406899949795914,1.88938439264621,"95%"
"72",",
 ","ProxyRecord",-2596.0125,4546.0125,"BP",-3.1001568737067,-3.20609565516665,-2.98865675703768,1.26944779418292,0.539790042501998,1.99134870337319,"95%"
"73",",
 ","ProxyRecord",-2546.0125,4496.0125,"BP",-3.03393314514353,-3.13479403324508,-2.93079792639821,1.33792736776394,0.657446086623918,2.02985234169339,"95%"
"74",",
 ","ProxyRecord",-2496.0125,4446.0125,"BP",-2.96622858241475,-3.06451558851938,-2.86349321340577,1.33288329016447,0.674901075317918,1.99905056896177,"95%"
"75",",
 ","ProxyRecord",-2446.0125,4396.0125,"BP",-2.90095495275509,-3.00267446283864,-2.80146751024882,1.25857672615037,0.626514056381161,1.89874690792976,"95%"
"76",",
 ","ProxyRecord",-2396.0125,4346.0125,"BP",-2.84135222838899,-2.94667221122909,-2.73875420279309,1.13044428828184,0.490651858908901,1.77229490778694,"95%"
"77",",
 ","ProxyRecord",-2346.0125,4296.0125,"BP",-2.78909757093056,-2.90014322455077,-2.68055206686613,0.975297094195842,0.339054515663377,1.63463658677164,"95%"
"78",",
 ","ProxyRecord",-2296.0125,4246.0125,"BP",-2.74426164573131,-2.85333687958716,-2.63006322992203,0.820906213587732,0.154935718047399,1.45353967662998,"95%"
"79",",
 ","ProxyRecord",-2246.0125,4196.0125,"BP",-2.70663380301067,-2.82424035447915,-2.58862144819863,0.692563946206567,0.0601494454123538,1.31066192171844,"95%"
"80",",
 ","ProxyRecord",-2196.0125,4146.0125,"BP",-2.67378243271504,-2.79734383793894,-2.54862322204544,0.615952703984507,-0.0235039956957958,1.22547296970862,"95%"
"81",",
 ","ProxyRecord",-2146.0125,4096.0125,"BP",-2.64378669141977,-2.77021166078026,-2.51794018638466,0.605006655328172,-0.0353890512541856,1.19154698556834,"95%"
"82",",
 ","ProxyRecord",-2096.0125,4046.0125,"BP",-2.61379332087864,-2.74452028976469,-2.49125498609895,0.660311324905614,0.0558721031524321,1.23260780600848,"95%"
"83",",
 ","ProxyRecord",-2046.0125,3996.0125,"BP",-2.57943468130993,-2.70220948897924,-2.45967952694901,0.771716716113938,0.188571077363418,1.35937559816456,"95%"
"84",",
 ","ProxyRecord",-1996.0125,3946.0125,"BP",-2.53754039601136,-2.65031826568576,-2.42171497405296,0.924740117041844,0.327199548478127,1.51718866494234,"95%"
"85",",
 ","ProxyRecord",-1946.0125,3896.0125,"BP",-2.48670826993976,-2.58920692839015,-2.38113265284281,1.09635444782009,0.493457492205753,1.71776809867366,"95%"
"86",",
 ","ProxyRecord",-1896.0125,3846.0125,"BP",-2.42640848635563,-2.5192102311469,-2.33313291356683,1.26686267150042,0.657914239240202,1.89396283939885,"95%"
