"","age","RSL","model"
"154",-7,-8.59,"ANU_Global_Delay_1ka"
"155",-6.5,-5.09,"ANU_Global_Delay_1ka"
"156",-6,-1.78,"ANU_Global_Delay_1ka"
"157",-5.5,-0.54,"ANU_Global_Delay_1ka"
"158",-5,0.42,"ANU_Global_Delay_1ka"
"159",-4.5,0.41,"ANU_Global_Delay_1ka"
"160",-4,0.44,"ANU_Global_Delay_1ka"
"161",-3.5,0.47,"ANU_Global_Delay_1ka"
"162",-3,0.52,"ANU_Global_Delay_1ka"
"163",-2.5,0.52,"ANU_Global_Delay_1ka"
"164",-2,0.57,"ANU_Global_Delay_1ka"
"165",-1.5,0.5,"ANU_Global_Delay_1ka"
"166",-1,0.46,"ANU_Global_Delay_1ka"
"167",-0.5,0.21,"ANU_Global_Delay_1ka"
"168",0,0,"ANU_Global_Delay_1ka"
"169",-10,-38.72,"ANU_UM_1E20"
"170",-9.5,-30.54,"ANU_UM_1E20"
"171",-9,-23.07,"ANU_UM_1E20"
"172",-8.5,-16.97,"ANU_UM_1E20"
"173",-8,-13.11,"ANU_UM_1E20"
"174",-7.5,-9.79,"ANU_UM_1E20"
"175",-7,-6.58,"ANU_UM_1E20"
"176",-6.5,-5.27,"ANU_UM_1E20"
"177",-6,-4.02,"ANU_UM_1E20"
"178",-5.5,-3.72,"ANU_UM_1E20"
"179",-5,-3.28,"ANU_UM_1E20"
"180",-4.5,-2.79,"ANU_UM_1E20"
"181",-4,-2.26,"ANU_UM_1E20"
"182",-3.5,-1.79,"ANU_UM_1E20"
"183",-3,-1.32,"ANU_UM_1E20"
"184",-2.5,-0.96,"ANU_UM_1E20"
"185",-2,-0.58,"ANU_UM_1E20"
"186",-1.5,-0.44,"ANU_UM_1E20"
"187",-1,-0.27,"ANU_UM_1E20"
"188",-0.5,-0.08,"ANU_UM_1E20"
"189",0,0,"ANU_UM_1E20"
"190",-10,-34.13,"ANU_VM5a_"
"191",-9.5,-25.75,"ANU_VM5a_"
"192",-9,-18.25,"ANU_VM5a_"
"193",-8.5,-12.02,"ANU_VM5a_"
"194",-8,-7.98,"ANU_VM5a_"
"195",-7.5,-4.52,"ANU_VM5a_"
"196",-7,-1.26,"ANU_VM5a_"
"197",-6.5,-0.01,"ANU_VM5a_"
"198",-6,0.97,"ANU_VM5a_"
"199",-5.5,0.95,"ANU_VM5a_"
"200",-5,0.96,"ANU_VM5a_"
"201",-4.5,0.99,"ANU_VM5a_"
"202",-4,1.05,"ANU_VM5a_"
"203",-3.5,1.05,"ANU_VM5a_"
"204",-3,1.07,"ANU_VM5a_"
"205",-2.5,0.99,"ANU_VM5a_"
"206",-2,0.94,"ANU_VM5a_"
"207",-1.5,0.67,"ANU_VM5a_"
"208",-1,0.46,"ANU_VM5a_"
"209",-0.5,0.27,"ANU_VM5a_"
"210",0,0,"ANU_VM5a_"
