"","Depth","lwr_2sd","median","upr_2sd","model","removalID","subset"
"159",632,6110.95,6335,6660.075,"Set1_thinned_2",2,"1"
"160",636,6117.975,6354,6692,"Set1_thinned_2",2,"1"
"161",640,6128.975,6374,6727.175,"Set1_thinned_2",2,"1"
"162",644,6142,6401.5,6782,"Set1_thinned_2",2,"1"
"163",648,6182.95,6442,6795.075,"Set1_thinned_2",2,"1"
"164",652,6214,6497,6805.025,"Set1_thinned_2",2,"1"
"165",656,6242,6558.5,6818.025,"Set1_thinned_2",2,"1"
"166",660,6266.975,6616.5,6834,"Set1_thinned_2",2,"1"
"167",664,6291,6673,6853.025,"Set1_thinned_2",2,"1"
"168",668,6308.95,6730,6878.05,"Set1_thinned_2",2,"1"
"169",672,6327.975,6757,6901.05,"Set1_thinned_2",2,"1"
"170",676,6343.975,6763,6915,"Set1_thinned_2",2,"1"
"171",680,6350,6767.5,6924.05,"Set1_thinned_2",2,"1"
"172",684,6357.975,6774,6931.075,"Set1_thinned_2",2,"1"
"173",688,6366.925,6780,6938.025,"Set1_thinned_2",2,"1"
"174",692,6374,6786,6943.05,"Set1_thinned_2",2,"1"
"175",696,6386.875,6792,6947.025,"Set1_thinned_2",2,"1"
"176",700,6397.925,6796,6952.05,"Set1_thinned_2",2,"1"
"177",704,6406.975,6800.5,6959.025,"Set1_thinned_2",2,"1"
"178",708,6416,6805.5,6963,"Set1_thinned_2",2,"1"
"179",712,6422,6809,6967,"Set1_thinned_2",2,"1"
"180",716,6426,6813,6970,"Set1_thinned_2",2,"1"
"181",720,6432.95,6816.5,6973,"Set1_thinned_2",2,"1"
"182",724,6439,6821.5,6977.075,"Set1_thinned_2",2,"1"
"183",728,6445,6824,6983.025,"Set1_thinned_2",2,"1"
"184",732,6450.975,6827.5,6992,"Set1_thinned_2",2,"1"
"185",736,6455,6829.5,6998,"Set1_thinned_2",2,"1"
"186",740,6465,6834.5,7004.025,"Set1_thinned_2",2,"1"
"187",744,6469.975,6838.5,7011,"Set1_thinned_2",2,"1"
"188",748,6476.975,6841,7019.025,"Set1_thinned_2",2,"1"
"189",752,6487,6844,7030,"Set1_thinned_2",2,"1"
"190",756,6493.975,6850,7039.025,"Set1_thinned_2",2,"1"
"191",760,6502,6856,7046.075,"Set1_thinned_2",2,"1"
"192",764,6509.975,6858.5,7057.025,"Set1_thinned_2",2,"1"
"193",768,6521,6869,7066.05,"Set1_thinned_2",2,"1"
"194",772,6548,6879,7073.025,"Set1_thinned_2",2,"1"
"195",776,6572.975,6889.5,7081.025,"Set1_thinned_2",2,"1"
"196",780,6595,6901,7086.075,"Set1_thinned_2",2,"1"
"197",784,6617.975,6911,7092,"Set1_thinned_2",2,"1"
"198",788,6637.975,6921.5,7095.05,"Set1_thinned_2",2,"1"
"199",792,6655,6931.5,7100.025,"Set1_thinned_2",2,"1"
"200",796,6668.925,6939,7104.025,"Set1_thinned_2",2,"1"
"201",800,6678.975,6948.5,7109,"Set1_thinned_2",2,"1"
"202",804,6690.975,6958,7116.025,"Set1_thinned_2",2,"1"
"203",808,6701,6966.5,7123,"Set1_thinned_2",2,"1"
"204",812,6715.925,6975,7126.05,"Set1_thinned_2",2,"1"
"205",816,6729.925,6983.5,7132.05,"Set1_thinned_2",2,"1"
"206",820,6743.975,6990,7135.15,"Set1_thinned_2",2,"1"
"207",824,6759.95,7000.5,7146,"Set1_thinned_2",2,"1"
"208",828,6779.925,7010,7158.05,"Set1_thinned_2",2,"1"
"209",832,6801.875,7025.5,7167.025,"Set1_thinned_2",2,"1"
"210",836,6831.725,7040,7176.05,"Set1_thinned_2",2,"1"
"211",840,6872.85,7055,7183.3,"Set1_thinned_2",2,"1"
"212",844,6907.95,7071.5,7190.45,"Set1_thinned_2",2,"1"
"213",848,6952,7087,7211.2,"Set1_thinned_2",2,"1"
"214",852,6992.975,7111,7242.05,"Set1_thinned_2",2,"1"
"215",856,7021,7138.5,7340.025,"Set1_thinned_2",2,"1"
"216",860,7041,7164,7376.075,"Set1_thinned_2",2,"1"
"217",864,7064,7190,7410.025,"Set1_thinned_2",2,"1"
"218",868,7083,7214.5,7441.025,"Set1_thinned_2",2,"1"
"219",872,7096,7239,7459.05,"Set1_thinned_2",2,"1"
"220",876,7108,7264,7487.025,"Set1_thinned_2",2,"1"
"221",880,7120.925,7289,7504.025,"Set1_thinned_2",2,"1"
"222",884,7131.925,7313,7521,"Set1_thinned_2",2,"1"
"223",888,7146.85,7338,7533.05,"Set1_thinned_2",2,"1"
"224",892,7154,7363.5,7545.025,"Set1_thinned_2",2,"1"
