"","RSL","RSLer_up_2sd","Age","Age_up_er_2sd","RSLError","AgeError","AgeCE","model","removalID"
"60",-2.38711456141646,0.207504763324332,4347.9875,271.0625,0.103752381662166,135.53125,-2397.9875,"Set1_thinned_2","_2"
"61",-2.42665687071268,0.207598666410635,4358.525,270.525000000001,0.103799333205318,135.2625,-2408.525,"Set1_thinned_2","_2"
"62",-2.46620188523766,0.207694138263013,4371.0125,271.037499999999,0.103847069131506,135.51875,-2421.0125,"Set1_thinned_2","_2"
"63",-2.50575312568744,0.207791007615541,4380.5125,271.5125,0.103895503807771,135.75625,-2430.5125,"Set1_thinned_2","_2"
"64",-2.54530865389689,0.207889274484867,4393.5125,274.5125,0.103944637242434,137.25625,-2443.5125,"Set1_thinned_2","_2"
"65",-2.58486589308232,0.207988781701428,4402.5,274.5,0.103994390850714,137.25,-2452.5,"Set1_thinned_2","_2"
"66",-2.62442405907661,0.208089385119057,4413.9875,273.087500000001,0.104044692559528,136.54375,-2463.9875,"Set1_thinned_2","_2"
"67",-2.66398849134636,0.208190996620324,4431.95,270.05,0.104095498310162,135.025,-2481.95,"Set1_thinned_2","_2"
"68",-2.70355258585582,0.208294805111982,4441.95,270.175,0.104147402555991,135.0875,-2491.95,"Set1_thinned_2","_2"
"69",-2.74312405287036,0.208399869411019,4453.975,269.099999999999,0.10419993470551,134.55,-2503.975,"Set1_thinned_2","_2"
"70",-2.78270301009587,0.208506564130137,4462.0125,273.037499999999,0.104253282065069,136.51875,-2512.0125,"Set1_thinned_2","_2"
"71",-2.82227674740415,0.208614272528961,4472.975,271.025,0.104307136264481,135.5125,-2522.975,"Set1_thinned_2","_2"
"72",-2.86185507818679,0.208723599764046,4481.025,270.05,0.104361799882023,135.025,-2531.025,"Set1_thinned_2","_2"
"73",-2.90143968870813,0.208833844173647,4495.95,271.075,0.104416922086824,135.5375,-2545.95,"Set1_thinned_2","_2"
"74",-2.94102844687779,0.208945396095721,4512.5,260.55,0.10447269804786,130.275,-2562.5,"Set1_thinned_2","_2"
"75",-2.98060883362861,0.209058741541898,4524.025,257.05,0.104529370770949,128.525,-2574.025,"Set1_thinned_2","_2"
"76",-3.02020150032113,0.209173400939701,4539.8875,249.162499999999,0.104586700469851,124.58125,-2589.8875,"Set1_thinned_2","_2"
"77",-3.05979372991707,0.209289582949052,4551.5,247.525,0.104644791474526,123.7625,-2601.5,"Set1_thinned_2","_2"
"78",-3.09939283592317,0.209406901642736,4564.4625,242.5375,0.104703450821368,121.26875,-2614.4625,"Set1_thinned_2","_2"
"79",-3.13899693086748,0.209525205881639,4581.8875,233.162499999999,0.10476260294082,116.58125,-2631.8875,"Set1_thinned_2","_2"
"80",-3.17859453547185,0.209645619399639,4610.9375,218.0875,0.104822809699819,109.04375,-2660.9375,"Set1_thinned_2","_2"
"81",-3.21820388139805,0.209766703233614,4624.9625,213.1125,0.104883351616807,106.55625,-2674.9625,"Set1_thinned_2","_2"
"82",-3.25781424211893,0.209889071918983,4664.3,192.725,0.104944535959492,96.3625000000002,-2714.3,"Set1_thinned_2","_2"
"83",-3.29742296197092,0.210013159206805,4717.5,167.55,0.105006579603402,83.7750000000001,-2767.5,"Set1_thinned_2","_2"
"84",-3.33703465266569,0.210138951719821,4809.9375,102.0625,0.105069475859911,51.03125,-2859.9375,"Set1_thinned_2","_2"
"85",-3.37665710742223,0.210265223875356,4894.9875,65.0124999999998,0.105132611937678,32.5062499999999,-2944.9875,"Set1_thinned_2","_2"
"86",-3.41627942629465,0.210394093167265,4945.5375,105.537499999999,0.105197046583632,52.7687499999997,-2995.5375,"Set1_thinned_2","_2"
"87",-3.45589618234605,0.210523425388232,4981.55,134.55,0.105261712694116,67.2750000000001,-3031.55,"Set1_thinned_2","_2"
"88",-3.49552571839776,0.210654048312732,5002.225,149.224999999999,0.105327024156366,74.6124999999997,-3052.225,"Set1_thinned_2","_2"
"89",-3.53515290705099,0.210785856688967,5027.55,169.575,0.105392928344484,84.7874999999999,-3077.55,"Set1_thinned_2","_2"
"90",-3.57478488005029,0.210919201808734,5049.1,186.125,0.105459600904367,93.0625,-3099.1,"Set1_thinned_2","_2"
"91",-3.614423910141,0.211053429439792,5083.0125,215.037499999999,0.105526714719896,107.51875,-3133.0125,"Set1_thinned_2","_2"
"92",-3.65405825285584,0.211188839031337,5097.7125,224.712500000001,0.105594419515668,112.35625,-3147.7125,"Set1_thinned_2","_2"
"93",-3.69369657046178,0.211325629122016,5115.6875,235.7125,0.105662814561008,117.85625,-3165.6875,"Set1_thinned_2","_2"
"94",-3.73333688836358,0.211463189622731,5137.0875,250.087500000001,0.105731594811366,125.04375,-3187.0875,"Set1_thinned_2","_2"
"95",-3.77298803254535,0.211603099788507,5158.0125,263.0625,0.105801549894253,131.53125,-3208.0125,"Set1_thinned_2","_2"
"96",-3.81262998492304,0.211743878023249,5174.0125,273.037499999999,0.105871939011625,136.51875,-3224.0125,"Set1_thinned_2","_2"
"97",-3.85228633529151,0.211886306858055,5191.5625,284.5875,0.105943153429028,142.29375,-3241.5625,"Set1_thinned_2","_2"
"98",-3.89194362218664,0.212029126960562,5210.0125,295.037499999999,0.106014563480281,147.51875,-3260.0125,"Set1_thinned_2","_2"
"99",-3.93160746315728,0.212173444855262,5226.025,305.025000000001,0.106086722427631,152.5125,-3276.025,"Set1_thinned_2","_2"
"100",-3.9712672443149,0.212319289543618,5246.4875,312.5375,0.106159644771809,156.26875,-3296.4875,"Set1_thinned_2","_2"
