component,RSL,RSLsd,yearBP,siteID,model_ranking
1,-5840.35783248441,1590.42844638983,7079,1,0
1,-5846.35105718439,1590.4466278434,7081,1,0
1,-5852.32134542428,1590.46525192288,7082.9875,1,0
1,-5856.83680098364,1590.47966676865,7084.4875,1,0
1,-5861.39822179824,1590.49445336564,7086,1,0
1,-5864.41863174923,1590.50442420278,7087,1,0
1,-5870.43254861608,1590.52468254976,7088.9875,1,0
1,-5873.5017911396,1590.5351912709,7090,1,0
1,-5884.14035122795,1590.57274313414,7093.5,1,0
1,-5904.131339035,1590.64770567736,7100.0375,1,0
1,-5986.68061927473,1591.02323886562,7126.5125,1,0
1,-6227.58497697115,1592.79509615552,7199.5,1,0
1,-6473.97385384375,1595.65551080098,7268.5,1,0
1,-6606.25140233897,1597.57762992016,7303.5,1,0
1,-6678.2264244752,1598.72259194918,7322,1,0
1,-6741.64142503776,1599.78464102554,7338,1,0
1,-6812.25184363499,1601.02261368511,7355.5,1,0
1,-6967.98806386674,1603.94454282198,7393,1,0
1,-7062.37642238662,1605.83573201562,7415.05,1,0
1,-7129.74044324271,1607.23845659577,7430.5,1,0
1,-7180.47342516109,1608.32350470725,7441.9875,1,0
1,-7218.41774490243,1609.15104581034,7450.5,1,0
1,-7258.79775375081,1610.04676876273,7459.4875,1,0
1,-7297.45389769506,1610.91878008883,7468.025,1,0
1,-7343.15105032688,1611.96806234267,7478.0375,1,0
1,-7391.36778941611,1613.09719743162,7488.5125,1,0
1,-7426.14047466544,1613.9254867044,7496.0125,1,0
1,-7453.98821139475,1614.59759080056,7501.9875,1,0
1,-7489.23914131569,1615.45946136189,7509.5125,1,0
1,-7524.62540311087,1616.33734374743,7517.025,1,0
1,-7543.36607694859,1616.80755207585,7520.9875,1,0
1,-7571.84057995677,1617.52897036107,7526.9875,1,0
1,-7612.4345478327,1618.5723045517,7535.5,1,0
1,-7648.32369705755,1619.50957138046,7542.9875,1,0
1,-7725.61872607563,1621.5769906366,7559,1,0
1,-7759.62858643988,1622.50833112212,7566,1,0
1,-7779.05862540752,1623.04649537803,7569.9875,1,0
1,-7791.32186692581,1623.3884536206,7572.5,1,0
1,-7808.49198116036,1623.87036431328,7576.0125,1,0
1,-7837.828606233,1624.70193618198,7582,1,0
1,-7862.32890411746,1625.40455304666,7586.9875,1,0
1,-7879.55532087618,1625.90310398022,7590.4875,1,0
1,-7891.93788817804,1626.26372417813,7593,1,0
1,-7909.20964808902,1626.77010014549,7596.5,1,0
1,-7933.92765888339,1627.50141110674,7601.5,1,0
1,-7951.26021511201,1628.01892008188,7605,1,0
1,-7976.06237729313,1628.76644833575,7610,1,0
1,-8003.399021246,1629.59977454866,7615.5,1,0
1,-8035.65149740083,1630.59605923357,7621.975,1,0
1,-8058.10897130938,1631.29815038613,7626.475,1,0
1,-8120.72636152618,1633.29310881191,7638.9875,1,0
1,-8186.03382251132,1635.43347678282,7651.9875,1,0
1,-8226.40310471412,1636.7877432489,7660,1,0
1,-8266.85617176583,1638.1690545425,7668.0125,1,0
1,-8294.67064892966,1639.13319406677,7673.5125,1,0
1,-8330.06006892212,1640.37669091594,7680.5,1,0
1,-8375.66202621954,1642.00731896522,7689.4875,1,0
1,-8413.84939633822,1643.39741935273,7697,1,0
1,-8454.51874405798,1644.90270128209,7704.9875,1,0
1,-8485.11339305947,1646.0520860308,7710.9875,1,0
1,-8528.58481559716,1647.71020438877,7719.5,1,0
1,-8620.69324969407,1651.32046293084,7737.4875,1,0
1,-8710.7638819986,1654.97772637229,7755.0125,1,0
1,-8764.89039467508,1657.23508734747,7765.5125,1,0
1,-8808.86360321147,1659.10146023087,7774.025,1,0
1,-8868.34071489237,1661.67168096355,7785.5125,1,0
1,-8909.79213559907,1663.49338965511,7793.5,1,0
1,-8982.77547622938,1666.76072360835,7807.525,1,0
1,-9061.00151745649,1670.34503661194,7822.5,1,0
1,-9179.17031187285,1675.9144080367,7845,1,0
1,-9237.17646381073,1678.71340725102,7855.9875,1,0
1,-9284.91404236341,1681.0475614878,7865,1,0
1,-9335.39566283626,1683.54506330987,7874.5,1,0
1,-9377.90749387117,1685.67081001517,7882.475,1,0
1,-9407.43354243133,1687.15897905252,7888,1,0
1,-9452.98107043374,1689.47302661533,7896.5,1,0
1,-9482.4674983602,1690.98260796481,7901.9875,1,0
1,-9522.80719780177,1693.06209473572,7909.475,1,0
1,-9558.06450664671,1694.89268473693,7916,1,0
1,-9587.86011083936,1696.44893788181,7921.5,1,0
1,-9623.16614019917,1698.30350401046,7928,1,0
1,-9661.23565596668,1700.315634021,7934.9875,1,0
1,-9702.16619190434,1702.49290393017,7942.475,1,0
1,-9746.33475627145,1704.85770367281,7950.525,1,0
1,-9812.43308952451,1708.42463205661,7962.5125,1,0
1,-9937.68221830484,1715.26664753233,7985.025,1,0
1,-10212.9007100789,1730.59680356717,8033.5,1,0
1,-10369.8858937854,1739.45892899,8060.5,1,0
1,-10482.3385605477,1745.83159592975,8079.5375,1,0
1,-10580.9086374245,1751.4214877611,8096.0125,1,0
1,437.724576650187,1574.99219626219,87,1,0
1,-3621.59988138732,1633.22980338715,5541,1,0
1,-4905.55011575064,1583.07545379037,6637,1,0
1,-4572.97373372084,1580.42503389807,6322,1,0
1,447.416020999197,1581.80192366937,120,1,0
1,-1602.66479491256,1671.60794386495,4397,1,0
1,451.417331188917,1585.81734238507,137,1,0
1,-133.786803208757,1712.13153114975,1990,1,0
1,404.21266735252,1566.09345997504,8,1,0
1,-4542.70135823172,1582.16558126147,6289,1,0
1,447.921612724196,1582.25804324659,122,1,0
1,-1427.76312316023,1683.52735776216,3684,1,0
1,-3615.82396237273,1633.17467994267,5538,1,0
1,-5588.80556891672,1589.96579510077,6990,1,0
1,-1503.03390931385,1670.89448046449,4202,1,0
1,447.159731397871,1581.57559160092,119,1,0
1,148.658522432204,1764.00681415851,1035,1,0
1,11.1971737374552,1719.64735739077,1670,1,0
1,-4509.03305630619,1584.69309422809,6252,1,0
1,-4668.87416449236,1578.06738528542,6423,1,0
1,451.189602129627,1646.0200372158,336,1,0
1,441.543618616182,1577.30272644098,99,1,0
1,-5717.91572717624,1590.14653351859,7037,1,0
1,-548.839976915624,1717.07653173594,2361.5,1,0
1,-1725.76212370722,1669.2740023724,4544,1,0
1,-4488.13101758668,1586.55628431995,6229,1,0
1,-392.999014001805,1716.67749328049,2249,1,0
1,130.944741819985,1762.52724221664,1088.5,1,0
1,-1456.18754656846,1669.4933927686,4019.5,1,0
1,-5071.64582363283,1586.81168112842,6750.5,1,0
1,-5079.15936634503,1586.93553380922,6755,1,0
1,-8279.43132004421,1638.60352965931,7670.5,1,0
1,-6498.15961499792,1595.98826961416,7275,1,0
1,-2178.13928104192,1655.69712517481,4877.5,1,0
1,-2512.81027083099,1643.83293532038,5049.5,1,0
1,-4961.49101657886,1584.54316397889,6678.5,1,0
1,-8500.48883138876,1646.63519124062,7714,1,0
1,-1461.14657604275,1704.73780460306,3324.5,1,0
1,-4913.34456066508,1583.29057851987,6643,1,0
1,-8515.80997267412,1647.21981414959,7717,1,0
1,172.527894485742,1764.37106111069,971,1,0
1,-4373.16983330576,1599.54361777369,6105.5,1,0
1,-1645.09511278709,1670.9800976349,4454,1,0
1,-1940.90003539994,1663.51850678288,4725.5,1,0
1,-1385.44328024006,1693.52660948963,2995,1,0
1,-4209.97551364265,1618.24772259378,5947.5,1,0
1,319.162450665142,1736.33825079696,663.5,1,0
1,-3083.50216083042,1631.53687845792,5296.5,1,0
1,-3127.44292730885,1631.23615583121,5315,1,0
1,-7010.53753462574,1604.78619533418,7403,1,0
1,-3085.88202616666,1631.51808920993,5297.5,1,0
1,-4732.49683308462,1578.5520404376,6486,1,0
1,-5456.10393936606,1589.75777635579,6938,1,0
1,-11292.5077757025,1791.06399634829,8209,1,0
1,-4610.24293393036,1578.97173271446,6362,1,0
1,-18159.860874563,2140.77129071155,8954,1,0
1,-16294.3332920508,2004.72397599691,8790.5,1,0
1,-28721.0587231817,3840.19458883012,9687,1,0
1,-4628.71878110757,1578.51717612685,6381.5,1,0
1,-3037.02231061319,1631.95999924217,5277,1,0
1,-5200.71802343847,1588.47006281877,6822,1,0
1,-1332.62998296507,1691.90968926911,2924,1,0
1,-9770.96326390235,1706.18300081359,7955,1,0
1,-8133.32911759755,1633.70135511333,7641.5,1,0
1,-4548.63928130735,1581.78394082323,6295.5,1,0
1,142.471928348765,1763.62011357747,1053,1,0
1,-1504.46716355812,1670.94195089766,4206,1,0
1,-1594.89348534448,1671.68703948296,4385.5,1,0
1,-5069.158775541,1586.76983178531,6749,1,0
1,-9920.7640964007,1714.33666332338,7982,1,0
1,-1081.87585654296,1698.93824461028,2707,1,0
1,-1427.42617580155,1681.52732457318,3711,1,0
1,-3322.69396995846,1631.00375188449,5399,1,0
1,-9973.99126254488,1717.26813673979,7991.5,1,0
1,-93.5329636652023,1712.03418434089,1929,1,0
1,-473.364453517366,1717.23434242358,2309,1,0
1,-982.620198265649,1703.73931424225,2639.5,1,0
1,-1328.33136253338,1691.86598618329,2919,1,0
1,-1451.17333041038,1701.87252623539,3428.5,1,0
1,-1462.78944855696,1669.47688089699,4054,1,0
1,-1463.30038342252,1669.48355023402,4056.5,1,0
1,-3503.4686022643,1632.12169098312,5482,1,0
1,-4530.39675578661,1583.01846273702,6275.5,1,0
1,-4551.38339889888,1581.61417979835,6298.5,1,0
1,-4575.28201128915,1580.31324806294,6324.5,1,0
1,-4899.76454111747,1582.91397153558,6632.5,1,0
1,-4915.30782047007,1583.34427629472,6644.5,1,0
1,-5336.76779749384,1589.38108053136,6887,1,0
1,-5424.65045179939,1589.68374403324,6925,1,0
1,-6137.83124846593,1592.01310904625,7173,1,0
1,-6169.70365837635,1592.27412832093,7182.5,1,0
1,-7590.94702256937,1618.01783373035,7531,1,0
1,-7988.48121026065,1629.14382198911,7612.5,1,0
1,-8055.73685378721,1631.22363576682,7626,1,0
1,-9050.53527032398,1669.86063896199,7820.5,1,0
1,-9793.02409810061,1707.37388672916,7959,1,0
1,-9865.03426679643,1711.28562122941,7972,1,0
1,155.258297202177,1764.27932616895,1016.5,1,0
1,-1154.04720448283,1695.73308243876,2760,1,0
1,-1460.71903928323,1703.38711648253,3219.5,1,0
1,-1439.26293130964,1671.36763773118,3904.5,1,0
1,-1501.79745883122,1670.85261917008,4198.5,1,0
1,-1686.00436238246,1670.17000322727,4502,1,0
1,-2152.27927003149,1656.61108051331,4862.5,1,0
1,-4308.3163008485,1607.49898035616,6040,1,0
1,-4494.04154959321,1586.00806648352,6235.5,1,0
1,-4834.50002315501,1581.03540011329,6579,1,0
1,-4892.12846842036,1582.69870807355,6626.5,1,0
1,-5073.30869533122,1586.83947818433,6751.5,1,0
1,-5070.81584073463,1586.79778365563,6750,1,0
1,-5308.1093622623,1589.24190988127,6874,1,0
1,-5359.30312837241,1589.47498622483,6897,1,0
1,-5406.8238762361,1589.63496058026,6917.5,1,0
1,-5421.06635556044,1589.67436979873,6923.5,1,0
1,-5478.28790713288,1589.80215650432,6947,1,0
1,-5487.0046270648,1589.81813579574,6950.5,1,0
1,-6152.88665684406,1592.13405881357,7177.5,1,0
1,-6244.81728031673,1592.96177510754,7204.5,1,0
1,-6672.33692690125,1598.62642171682,7320.5,1,0
1,-7828.01994273346,1624.42270165782,7580,1,0
1,-8431.66161116911,1644.05356800457,7700.5,1,0
1,-9842.82548129,1710.07543044839,7968,1,0
1,-9867.81366300909,1711.43727951862,7972.5,1,0
1,-10791.2638071687,1763.31875564839,8130.5,1,0
1,-6137.83124846593,1592.01310904625,7173,1,0
1,-1441.82228748687,1699.05496389413,3117,1,0
1,-3897.02329062903,1633.97860964822,5703,1,0
1,-4246.5985462456,1614.52097354927,5981,1,0
1,-5022.74623856507,1585.91087818055,6720,1,0
1,-4755.62714285729,1578.98966533418,6508,1,0
1,-4992.50599859189,1585.26907260411,6700,1,0
1,-6091.47370457416,1591.66615483629,7159,1,0
1,-6137.83124846593,1592.01310904625,7173,1,0
1,229.485296855215,1759.30272090308,841,1,0
1,-3206.34326094529,1630.93244644657,5348.5,1,0
1,-4634.45081340522,1578.40949963793,6387.5,1,0
1,317.874439035077,1736.80599813498,666,1,0
1,271.01600111369,1750.98149524,757,1,0
1,231.395058411639,1759.00373303826,837,1,0
1,200.56256242888,1762.83316685559,904,1,0
1,38.1258408846334,1728.25270581389,1541,1,0
1,-965.073086151853,1704.58171756371,2628,1,0
1,-1098.71785541857,1698.15317198334,2719,1,0
1,-1445.50312665571,1699.69173995112,3130,1,0
1,-1457.92516079638,1669.46748189469,4029,1,0
1,-1773.58991501946,1668.10905440718,4590,1,0
1,-3389.76609316422,1631.29557890359,5429,1,0
1,-5168.11251092376,1588.1381013823,6805,1,0
1,-5181.39034398273,1588.27966725523,6812,1,0
1,-5183.30405057967,1588.29927468223,6813,1,0
1,-6004.11016964726,1591.11695229063,7132,1,0
1,-7788.88017465454,1623.32024948488,7572,1,0
1,-8115.7756397496,1633.13334652519,7638,1,0
1,-8500.48883138876,1646.63519124062,7714,1,0
1,334.786911024712,1730.29722962244,633,1,0
1,113.577707556542,1759.80668471086,1148,1,0
1,228.533433431759,1759.44874066305,843,1,0
1,-413.756331946701,1716.88876341687,2265,1,0
1,-4998.44373062719,1585.40028363217,6704,1,0
1,-4892.76146316016,1582.71667743725,6627,1,0
1,-5695.34158875281,1590.10963118471,7029,1,0
1,-2166.86637154873,1656.09680134312,4871,1,0
1,-9552.65473271208,1694.61104915319,7915,1,0
1,308.582509509288,1740.05010265188,684,1,0
1,-1462.43949694978,1704.18545376337,3250,1,0
1,-3070.40527854534,1631.64507256411,5291,1,0
1,-4277.35854811314,1611.12170964326,6010,1,0
1,-5493.26145117683,1589.82917251675,6953,1,0
1,-6111.25222394615,1591.80941841375,7165,1,0
1,-8060.73122094385,1631.38058358908,7627,1,0
1,-10455.3978498955,1744.30400780645,8075,1,0
1,-1100.10884347325,1698.08916313313,2720,1,0
1,-1504.10681934934,1670.93005898615,4205,1,0
1,-1522.15418718476,1671.42006314951,4251,1,0
1,-88395.018085914,2161.31654613367,14082,1,0
1,-93152.628943145,2147.90601016895,14295,1,0
1,-92295.8822108479,2147.31730469949,14255,1,0
1,-95458.6270563076,2166.2964694887,14408,1,0
1,-95222.1539681829,2162.86674426781,14396,1,0
