modelID,global_amp,global_tscale,local_amp,local_tscale,local_sscale,noise,logp,logp_out,plotstatus
21,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
22,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
23,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
24,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
25,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
26,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
27,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
28,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
29,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
30,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
31,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
32,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
33,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
34,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
35,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
36,55341.54151,4695.989075,1513.923708,843.9244078,1.2877785162536e-05,2.423025884,3921.713822,-4429.649703,optimal model
37,55712.38429,4698.807013,1515.141331,846.6500313,1.96412188907943e-05,0.214701962,3921.693715,-4433.440938,optimal model
38,67031.4712,12195.55955,1681.752413,731.9516047,1.33087735768418e-05,1.924787741,3921.698964,-4175.290481,optimal model
39,65359,12211,1673,729,0.00,2,3922,-4173,chosen model
40,55787.6242,4691.428322,1514.447091,847.1788419,2.04981703043414e-05,0.749637149,3921.695517,-4435.431296,optimal model
41,66941.93447,12203.51294,1694.679609,736.9081602,0.000147991,0.117268703,3921.593903,-4174.987729,optimal model
42,55637.37398,4698.544494,1515.385352,846.6499946,3.2542804352544e-05,0.308966986,3921.692257,-4432.76457,optimal model
43,55589.31224,4696.490723,1515.317937,846.2419737,3.96693802551511e-05,1.273584172,3921.697246,-4432.398236,optimal model
44,66545.04975,12328.69116,1692.34416,735.1953593,0.000140385,0.405868746,3921.60029,-4177.231217,optimal model
45,55567.48951,4694.877763,1514.097534,845.4157063,3.72983798158543e-05,0.150100452,3921.691842,-4432.354783,optimal model
46,53655.14415,3067.137341,1766.040226,3000,1.07759604952981e-05,3.173495876,3940.844482,-4881.99469,non-optimal model
47,55573.52238,4711.62087,1515.812823,845.4006236,5e-05,0.232112531,3921.695256,-4429.732682,optimal model
48,55785.11744,4718.970289,1517.259635,846.5875267,5.83218636898645e-05,0.314058934,3921.700715,-4430.656139,optimal model
49,55675.67442,4701.984186,1515.78695,846.3116078,5e-05,0.13771488,3921.694989,-4432.247599,optimal model
50,55668.08212,4707.194008,1515.938948,846.3305508,3.58532780089618e-05,1.134376004,3921.696035,-4431.631107,optimal model
51,55602.72597,4707.474867,1515.66016,847.1425167,3.75265435215655e-05,0.13684134,3921.691893,-4431.509242,optimal model
52,55585.84846,4695.328085,1514.753585,845.9456344,4.85715136592261e-05,1,3921.697626,-4432.434047,optimal model
