"","ageBP","RSL_lwr_2sd","RSL","RSL_upr_2sd","site","lat","lon","model"
"285",7.5,-9.75,-5.75,-1.75,"4","16.832","-88.106","ANU-ICE"
"286",7,-6.29,-2.45,1.4,"4","16.832","-88.106","ANU-ICE"
"287",6.5,-4.74,-1.12,2.51,"4","16.832","-88.106","ANU-ICE"
"288",6,-3.36,-0.05,3.26,"4","16.832","-88.106","ANU-ICE"
"289",5.5,-2.93,0.06,3.05,"4","16.832","-88.106","ANU-ICE"
"290",5,-2.45,0.2,2.86,"4","16.832","-88.106","ANU-ICE"
"291",4.5,-1.98,0.35,2.68,"4","16.832","-88.106","ANU-ICE"
"292",4,-1.5,0.53,2.55,"4","16.832","-88.106","ANU-ICE"
"293",3.5,-1.12,0.62,2.36,"4","16.832","-88.106","ANU-ICE"
"294",3,-0.73,0.74,2.22,"4","16.832","-88.106","ANU-ICE"
"295",2.5,-0.48,0.75,1.97,"4","16.832","-88.106","ANU-ICE"
"296",2,-0.21,0.77,1.74,"4","16.832","-88.106","ANU-ICE"
"297",1.5,-0.16,0.57,1.31,"4","16.832","-88.106","ANU-ICE"
"298",1,-0.09,0.41,0.92,"4","16.832","-88.106","ANU-ICE"
"299",0.5,-0.01,0.28,0.56,"4","16.832","-88.106","ANU-ICE"
"300",0,0,0,0,"4","16.832","-88.106","ANU-ICE"
"301",12,-63.27,-57.34,-51.41,"5","16.695","-88.075","ANU-ICE"
"302",11.5,-59.93,-54.35,-48.78,"5","16.695","-88.075","ANU-ICE"
"303",11,-53.59,-48.29,-43,"5","16.695","-88.075","ANU-ICE"
"304",10.5,-47.26,-42.2,-37.13,"5","16.695","-88.075","ANU-ICE"
"305",10,-39.74,-34.89,-30.03,"5","16.695","-88.075","ANU-ICE"
"306",9.5,-31.31,-26.62,-21.93,"5","16.695","-88.075","ANU-ICE"
"307",9,-23.49,-19.29,-15.09,"5","16.695","-88.075","ANU-ICE"
"308",8.5,-17.32,-13.16,-9,"5","16.695","-88.075","ANU-ICE"
"309",8,-13.27,-9.14,-5.01,"5","16.695","-88.075","ANU-ICE"
"310",7.5,-9.69,-5.66,-1.63,"5","16.695","-88.075","ANU-ICE"
"311",7,-6.25,-2.37,1.5,"5","16.695","-88.075","ANU-ICE"
"312",6.5,-4.7,-1.05,2.6,"5","16.695","-88.075","ANU-ICE"
"313",6,-3.33,0.01,3.35,"5","16.695","-88.075","ANU-ICE"
"314",5.5,-2.91,0.11,3.12,"5","16.695","-88.075","ANU-ICE"
