"time","lat","lon","IM","SampleID","StudySite","vicinity_size"
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
8.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
