"","sampleID","LAT","MLWS","MLWN","MTL","MHWN","MHWS","HAT","StudySite","model"
"72","G9-base",-0.18369,-0.12657,-0.082182,-0.012399,0.06114,0.098015,0.142,"Glover's Reef","OSU"
"73","T4-base",-0.18288,-0.12625,-0.081652,-0.012197,0.060127,0.098985,0.14518,"Turneffe Island","OSU"
"74","T6-base",-0.1834,-0.12675,-0.081771,-0.012006,0.060624,0.09987,0.14675,"Turneffe Island","OSU"
"75","T7-base",-0.18313,-0.12658,-0.081836,-0.012045,0.060654,0.099582,0.14618,"Turneffe Island","OSU"
"76","T12-base",-0.18314,-0.12671,-0.081981,-0.012017,0.060964,0.099665,0.1468,"Turneffe Island","OSU"
"77","L5-base",-0.18563,-0.12846,-0.083385,-0.012242,0.062056,0.10083,0.14798,"Lighthouse Reef","OSU"
"78","L6-base",-0.18511,-0.1278,-0.083157,-0.012438,0.061349,0.099852,0.14586,"Lighthouse Reef","OSU"
"79","BETA-96642",-0.18321,-0.12645,-0.081895,-0.012265,0.060431,0.098856,0.14482,"Cay Bokel Island, Turneffe Atoll","OSU"
"80","GR 1-2.1",-0.18397,-0.12681,-0.082372,-0.012439,0.061251,0.09817,0.14222,"Glover's Reef","OSU"
"81","GR 1-6.675",-0.18397,-0.12681,-0.082372,-0.012439,0.061251,0.09817,0.14222,"Glover's Reef","OSU"
"82","GR 1-8.275",-0.18397,-0.12681,-0.082372,-0.012439,0.061251,0.09817,0.14222,"Glover's Reef","OSU"
"83","GR 2-6.575",-0.18357,-0.12646,-0.082138,-0.012381,0.060985,0.098085,0.14226,"Glover's Reef","OSU"
"84","GR 2-9.55",-0.18357,-0.12646,-0.082138,-0.012381,0.060985,0.098085,0.14226,"Glover's Reef","OSU"
"85","GR 2-9.8",-0.18357,-0.12646,-0.082138,-0.012381,0.060985,0.098085,0.14226,"Glover's Reef","OSU"
"86","GR 3-6.95",-0.18379,-0.12666,-0.082265,-0.01242,0.061054,0.098192,0.14239,"Glover's Reef","OSU"
"87","TR 4-0.25",-0.18372,-0.12689,-0.082184,-0.012123,0.060887,0.099693,0.14622,"Turneffe Island","OSU"
"88","TR 4-1.35",-0.18372,-0.12689,-0.082184,-0.012123,0.060887,0.099693,0.14622,"Turneffe Island","OSU"
"89","TR 4-3.125",-0.18372,-0.12689,-0.082184,-0.012123,0.060887,0.099693,0.14622,"Turneffe Island","OSU"
"90","TR 5-0.45",-0.18344,-0.12697,-0.082134,-0.011963,0.061266,0.099991,0.14741,"Turneffe Island","OSU"
"91","TR 5-1.15",-0.18344,-0.12697,-0.082134,-0.011963,0.061266,0.099991,0.14741,"Turneffe Island","OSU"
"92","LR 7-4.9",-0.1858,-0.1284,-0.083469,-0.012419,0.06175,0.10045,0.14693,"Lighthouse Reef","OSU"
"93","LR 7-6.3",-0.1858,-0.1284,-0.083469,-0.012419,0.06175,0.10045,0.14693,"Lighthouse Reef","OSU"
"94","LR 10-3.775",-0.18518,-0.12812,-0.083196,-0.012228,0.061834,0.10057,0.14753,"Lighthouse Reef","OSU"
"95","LR 11-0.6",-0.18558,-0.12842,-0.083374,-0.012251,0.062044,0.10074,0.14781,"Lighthouse Reef","OSU"
"96","LR 11-5.4",-0.18558,-0.12842,-0.083374,-0.012251,0.062044,0.10074,0.14781,"Lighthouse Reef","OSU"
"97","LR 12-2.125",-0.18585,-0.12861,-0.083513,-0.012132,0.062372,0.10122,0.1487,"Lighthouse Reef","OSU"
"98","LR 12-2.375",-0.18585,-0.12861,-0.083513,-0.012132,0.062372,0.10122,0.1487,"Lighthouse Reef","OSU"
"99","LR 12-5.475",-0.18585,-0.12861,-0.083513,-0.012132,0.062372,0.10122,0.1487,"Lighthouse Reef","OSU"
"100","LR 13-8.05",-0.18558,-0.12842,-0.083374,-0.012251,0.062044,0.10074,0.14781,"Lighthouse Reef","OSU"
"101","LR 14-0.475",-0.18572,-0.1285,-0.083461,-0.012322,0.061873,0.1008,0.14768,"Lighthouse Reef","OSU"
"102","LR 14-2.675",-0.18572,-0.1285,-0.083461,-0.012322,0.061873,0.1008,0.14768,"Lighthouse Reef","OSU"
"103","BBR 1-2.1",-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,"Tobacco Cay","OSU"
"104","BBR 1-6.425",-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,"Tobacco Cay","OSU"
"105","BBR 1-10.075",-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,"Tobacco Cay","OSU"
"106","BBR 1-13.5",-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,"Tobacco Cay","OSU"
"107","BBR 2-3.275",-0.18308,-0.12574,-0.080534,-0.012122,0.059749,0.098031,0.14389,"Emily","OSU"
"108","BBR 2-4.225",-0.18308,-0.12574,-0.080534,-0.012122,0.059749,0.098031,0.14389,"Emily","OSU"
"109","BBR 3-0.425",-0.18423,-0.12618,-0.079944,-0.011869,0.059391,0.099257,0.14705,"Rendezvous Cay","OSU"
"110","BBR 4-0.75",-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,"Gallow's Point Reef","OSU"
"111","BBR 4-2.575",-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,"Gallow's Point Reef","OSU"
"112","BBR 4-11.6",-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,"Gallow's Point Reef","OSU"
"113","BBR 5-2",-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,"Gladden spit","OSU"
"114","BBR 5-3.875",-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,"Gladden spit","OSU"
"115","BBR 5-8.25",-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,"Gladden spit","OSU"
"116","BBR 5-13.925",-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,"Gladden spit","OSU"
"117","BBR 6-0.625",-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,"Carrie Bow Cay","OSU"
"118","BBR 7-4.95",-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,"Carrie Bow Cay","OSU"
"119","BBR 7-8",-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,"Carrie Bow Cay","OSU"
"120","BBR 8-15.9",-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,"Nicholas Cay","OSU"
"121","BBR 8-18.5",-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,"Nicholas Cay","OSU"
"122","BBR 9-11.45",-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,"Ranguana Cay","OSU"
"123","BBR 9-13",-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,"Ranguana Cay","OSU"
"124","OS-37476",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"125","OS-40695",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"126","OS-40696",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"127","OS-37475",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"128","OS-37477",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"129","491",-0.1830276,-0.1270151,-0.08143524,-0.01126491,0.06183802,0.1015527,0.1506464,"Ambergris Cay","OSU"
"130","663",-0.1828759,-0.1267306,-0.08103818,-0.01116402,0.06173719,0.1013755,0.1507555,"Ambergris Cay","OSU"
"131","465",-0.1829534,-0.1268199,-0.08124831,-0.01131524,0.06147515,0.1013321,0.1504858,"Ambergris Cay","OSU"
"132","TR 4-1.1",-0.18371,-0.12688,-0.082179,-0.012115,0.06089,0.099707,0.14624,"Soldier Cay, Turneffe Atoll","OSU"
"133","TR 5-2.7",-0.18372,-0.12723,-0.082322,-0.01197,0.061468,0.10021,0.1477,"Three Corner Cay, Turneffe Atoll","OSU"
"134","TR 4-1.1",-0.18371,-0.12688,-0.082179,-0.012115,0.06089,0.099707,0.14624,"Glover's Reef","OSU"
"135","TR 5-2.7",-0.18372,-0.12723,-0.082322,-0.01197,0.061468,0.10021,0.1477,"Glover's Reef","OSU"
"136","GR 3-1.25",-0.18379,-0.12666,-0.08227,-0.012416,0.061071,0.098198,0.1424,"Glover's Reef","OSU"
"137","LR 7-2",-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,"Lighthouse Reef","OSU"
"138","LR 7-3.5",-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,"Lighthouse Reef","OSU"
"139","LR 7-5.1",-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,"Lighthouse Reef","OSU"
"140","TR 4-3",-0.18371,-0.12688,-0.082179,-0.012115,0.06089,0.099707,0.14624,"Soldier Cay, Turneffe Atoll","OSU"
"141","LR 7-5.1",-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,"Glover's Reef","OSU"
"142","TR 4-3",-0.18371,-0.12688,-0.082179,-0.012115,0.06089,0.099707,0.14624,"Glover's Reef","OSU"
"143","GR 1-2.8",-0.18356,-0.12644,-0.082127,-0.012376,0.061014,0.098052,0.14216,"Glover's Reef","OSU"
"144","GR 2-4.6",-0.18398,-0.12684,-0.082377,-0.012447,0.061259,0.098172,0.14223,"Glover's Reef","OSU"
"145","LR 7-7.9",-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,"Lighthouse Reef","OSU"
"146","GR 1-5.6",-0.18398,-0.12684,-0.082377,-0.012447,0.061259,0.098172,0.14223,"Glover's Reef","OSU"
"147","LR 7-7.9",-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,"Glover's Reef","OSU"
"148","BBR 6-7.6",-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,"Carrie Bow Cay","OSU"
"149","BBR 7-6.4",-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,"Carrie Bow Cay","OSU"
"150","BBR 1-8.1",-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,"Tobacco Cay","OSU"
"151","BBR 2-4.4",-0.18308,-0.12574,-0.080534,-0.012122,0.059749,0.098031,0.14389,"Emily","OSU"
"152","BBR 8-14.5",-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,"Nicholas Cay","OSU"
"153","BBR 9-15.5",-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,"Ranguana Cay","OSU"
"154","BBR 1-13.9",-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,"Tobacco Cay","OSU"
"155","BBR 5-14.0",-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,"Gladden spit","OSU"
"156","BBR 3-20.0",-0.18423,-0.12618,-0.079944,-0.011869,0.059391,0.099257,0.14705,"Rendezvous Cay","OSU"
"157","BBR 9-19.8",-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,"Ranguana Cay","OSU"
