"","depth","age_lwr_2sd","age_upr_2sd","mid_age","sample_elev","RWL","IR","IR_uncertainty_2sd","levelling_uncertainty_dumpy","levelling_uncertainty_GPS","core_uncertainty_russian","nonvertical_uncertainty","PDL","PDL sd","RSL","RSL_uncertainty_up","RSL_uncertainty_down","RSL_lwr_2sd","RSL_upr_2sd","paleotide_corr_RWL","paleotide_corr_IR","correctedRSL","corrRSL_uncertainty_up","corrRSL_uncertainty_down","corrRSL_lwr_2sd","corrRSL_upr_2sd"
"175",6.96,6854,6929,6891.5,-7.00031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1392,0.0529298122630145,0.00579151192095349,-6.97435626370313,0.312890339830553,0.280220849972444,-7.25457711367557,-6.66146592387257,-0.00960461687299551,0.516470708225143,-6.93778377483378,0.357625928247614,0.329423230138628,-7.26720700497241,-6.58015784658617
"176",7,6854,6930,6892,-7.04031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.14,0.052861471152929,0.00579005186799383,-7.01442460481321,0.313246958677164,0.280220729284064,-7.29464533409728,-6.70117764613605,-0.00960461687299551,0.516470708225143,-6.97785211594387,0.357937979147479,0.329423127476171,-7.30727524342004,-6.61991413679639
"177",7.04,6857,6931,6894,-7.08031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1408,0.0527896466170427,0.0057855916848547,-7.0544964293491,0.313604991354621,0.280220360792238,-7.33471679014134,-6.74089143799448,-0.00960461687299551,0.516470708225143,-7.01792394047975,0.358251350867266,0.329422814022072,-7.34734675450182,-6.65967258961249
"178",7.08,6858,6933,6895.5,-7.12031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1416,0.0527128052011757,0.00578360592904976,-7.09457327076497,0.313964836738331,0.280220196824081,-7.37479346758905,-6.78060843402664,-0.00960461687299551,0.516470708225143,-7.05800078189562,0.358566393438949,0.329422674544141,-7.38742345643976,-6.69943438845667
"179",7.12,6859.975,6935,6897.4875,-7.16031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1424,0.0526299420488518,0.00578797848853679,-7.13465613391729,0.314326774389157,0.280220557950147,-7.41487669186744,-6.82032935952813,-0.00960461687299551,0.516470708225143,-7.09808364504794,0.358883352767414,0.329422981732575,-7.42750662678052,-6.73920029228053
"180",7.16,6860.975,6936,6898.4875,-7.20031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1432,0.0525400906894122,0.00578490861371399,-7.17474598527673,0.31468978214844,0.280220304383235,-7.45496628965997,-6.86005620312829,-0.00960461687299551,0.516470708225143,-7.13817349640738,0.359201334608213,0.329422766038295,-7.46759626244568,-6.77897216179917
"181",7.2,6862,6936.025,6899.0125,-7.24031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.144,0.052443199514507,0.00577770948381639,-7.21484287645163,0.315054100156583,0.280219710272982,-7.49506258672462,-6.89978877629505,-0.00960461687299551,0.516470708225143,-7.17827038758229,0.359520549928878,0.329422260664277,-7.50769264824656,-6.81874983765341
"182",7.24,6864,6938,6901,-7.28031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1448,0.0523520713583489,0.00577896019938976,-7.25493400460779,0.315420645871352,0.280219813435633,-7.53515381804343,-6.93951335873644,-0.00960461687299551,0.516470708225143,-7.21836151573845,0.35984180362708,0.329422348418546,-7.54778386415699,-6.85851971211137
"183",7.28,6866,6939,6902.5,-7.32031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1456,0.0522543211254099,0.00578145181715151,-7.29503175484073,0.315788883684041,0.280220019017937,-7.57525177385867,-6.97924287115669,-0.00960461687299551,0.516470708225143,-7.25845926597138,0.360164627433208,0.329422523295086,-7.58788178926647,-6.89829463853818
"184",7.32,6867,6939,6903,-7.36031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1464,0.0521521584710592,0.00577349557232728,-7.33513391749508,0.316157953122251,0.280219362861404,-7.61535328035649,-7.01897596437283,-0.00960461687299551,0.516470708225143,-7.29856142862574,0.360488267656716,0.329421965142187,-7.62798339376792,-6.93807316096902
"185",7.36,6868.975,6941,6904.9875,-7.40031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1472,0.0520424784335762,0.00576048936149658,-7.37524359753257,0.31652824718924,0.280218292173606,-7.65546188970617,-7.05871535034333,-0.00960461687299551,0.516470708225143,-7.33867110866322,0.360813069420137,0.329421054373246,-7.66809216303646,-6.97785803924308
"186",7.4,6870,6942.025,6906.0125,-7.44031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.148,0.0519410950180187,0.00576202349211699,-7.41534498094812,0.316901186455418,0.280218418339786,-7.69556339928791,-7.09844379449271,-0.00960461687299551,0.516470708225143,-7.37877249207878,0.361140279908708,0.329421161695086,-7.70819365377386,-7.01763221217007
"187",7.44,6878,6962.025,6920.0125,-7.48031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1488,0.0518289034742902,0.00575303569007689,-7.45545717249185,0.317274940700588,0.28021767966451,-7.73567485215636,-7.13818223179126,-0.00960461687299551,0.516470708225143,-7.4188846836225,0.361468294311203,0.329420533349472,-7.74830521697198,-7.0574163893113
"188",7.48,6900.975,7010,6955.4875,-7.52031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1496,0.0517127534702299,0.00575128488040211,-7.49557332249591,0.317650794787387,0.280217535905694,-7.77579085840161,-7.17792252770853,-0.00960461687299551,0.516470708225143,-7.45900083362657,0.361798241047061,0.329420411062744,-7.78842124468931,-7.09720259257951
"189",7.52,6945.975,7072.025,7009,-7.56031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1504,0.0515965283723155,0.00575678673428691,-7.53568954759383,0.318028741927476,0.280217987809443,-7.81590753540327,-7.21766080566635,-0.00960461687299551,0.516470708225143,-7.49911705872448,0.362130115411107,0.329420795469353,-7.82853785419383,-7.13698694331337
"190",7.56,6993,7095,7044,-7.60031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1512,0.0514698521186522,0.00575445922114702,-7.57581622384749,0.318407684457627,0.280217796582708,-7.8560340204302,-7.25740853938986,-0.00960461687299551,0.516470708225143,-7.53924373497814,0.36246295440687,0.32942063280456,-7.8686643677827,-7.17678078057127
"191",7.6,7000.975,7100,7050.4875,-7.64031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.152,0.0513443027854504,0.00575278307835066,-7.61594177318069,0.318788231229672,0.280217658919888,-7.89615943210058,-7.29715354195102,-0.00960461687299551,0.516470708225143,-7.57936928431134,0.362797293493531,0.329420515703305,-7.90878980001465,-7.21657199081781
"192",7.64,7006,7107,7056.5,-7.68031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1528,0.0512032189107763,0.00574237982773006,-7.65608285705536,0.319169700977866,0.280216805388792,-7.93629966244416,-7.3369131560775,-0.00960461687299551,0.516470708225143,-7.61951036818602,0.363132534783086,0.329419789657496,-7.94893015784351,-7.25637783340293
"193",7.68,7012.975,7114.025,7063.5,-7.72031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1536,0.0510644789065081,0.0057509230581196,-7.69622159705963,0.319554081153783,0.280217506201947,-7.97643910326158,-7.37666751590585,-0.00960461687299551,0.516470708225143,-7.65964910819029,0.363470426001521,0.329420385795607,-7.98906949398589,-7.29617868218877
"194",7.72,7015,7117.05,7066.025,-7.76031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1544,0.0509205815105728,0.00574550932545205,-7.73636549445557,0.319938997040986,0.280217061985155,-8.01658255644072,-7.41642649741458,-0.00960461687299551,0.516470708225143,-7.69979300558622,0.363808880627288,0.329420007927996,-8.02921301351422,-7.33598412495893
"195",7.76,7018.975,7120,7069.4875,-7.80031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1552,0.0507838910781959,0.00574111278284216,-7.77650218488795,0.320325521652425,0.280216701539894,-8.05671888642784,-7.45617666323552,-0.00960461687299551,0.516470708225143,-7.7399296960186,0.364148842669569,0.32941970131974,-8.06934939733834,-7.37578085334903
"196",7.8,7021,7121.025,7071.0125,-7.84031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.156,0.0506339766970936,0.00574279171676431,-7.81665209926905,0.320714011145078,0.280216839152763,-8.09686893842181,-7.49593808812397,-0.00960461687299551,0.516470708225143,-7.7800796103997,0.364490626409588,0.329419818378393,-8.1094994287781,-7.41558898399011
"197",7.84,7022,7122,7072,-7.88031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1568,0.0504747727619398,0.00573281768084534,-7.8568113032042,0.321103190753695,0.280216022226075,-8.13702732543028,-7.53570811245051,-0.00960461687299551,0.516470708225143,-7.82023881433486,0.36483311103557,0.329419123470227,-8.14965793780508,-7.45540570329929
"198",7.88,7023,7123,7073,-7.92031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1576,0.0503237561904568,0.00572866854272915,-7.89696231977569,0.321494306156495,0.280215682807095,-8.17717800258278,-7.57546801361919,-0.00960461687299551,0.516470708225143,-7.86038983090634,0.365177393449725,0.329418834748007,-8.18980866565435,-7.49521243745661
"199",7.92,7025,7123.025,7074.0125,-7.96031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1584,0.0501639613348912,0.00573187307646335,-7.93712211463125,0.321887458273564,0.280215944931432,-8.21733805956268,-7.61523465635769,-0.00960461687299551,0.516470708225143,-7.9005496257619,0.365523563658356,0.329419057720564,-8.22996868348247,-7.53502606210355
"200",7.96,7028,7126,7077,-8.00031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1592,0.0499977394410062,0.00572898171646882,-7.97728833652514,0.322281683072413,0.280215708417617,-8.25750404494275,-7.65500665345272,-0.00960461687299551,0.516470708225143,-7.94071584765579,0.365870773688847,0.329418856533253,-8.27013470418904,-7.57484507396694
"201",8,7028,7127.025,7077.5125,-8.04031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.16,0.0498308779754221,0.00572982250353111,-8.01745519799072,0.322677674749346,0.280215777181879,-8.2976709751726,-7.69477752324137,-0.00960461687299551,0.516470708225143,-7.98088270912137,0.366219635706953,0.329418915026647,-8.31030162414802,-7.61466307341442
"202",8.04,7029,7129,7079,-8.08031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1608,0.0496627504497134,0.00571948596539486,-8.05762332551643,0.323074369761499,0.280214932501446,-8.33783825801788,-7.73454895575493,-0.00960461687299551,0.516470708225143,-8.02105083664708,0.366569213372425,0.329418196510877,-8.35046903315796,-7.65448162327466
"203",8.08,7031.975,7130.025,7081,-8.12031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1616,0.0494913842300887,0.00571231467129564,-8.09779469173605,0.323472781658013,0.280214347372814,-8.37800903910887,-7.77432191007804,-0.00960461687299551,0.516470708225143,-8.06122220286671,0.366920400453914,0.329417698779621,-8.39063990164633,-7.69430180241279
"204",8.12,7033.975,7132,7082.9875,-8.16031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1624,0.0493144430379957,0.00570961043731956,-8.13797163292815,0.323872995051055,0.280214126916079,-8.41818575984422,-7.81409863787709,-0.00960461687299551,0.516470708225143,-8.1013991440588,0.367273272535627,0.329417511251343,-8.43081665531014,-7.73412587152317
"205",8.16,7035.975,7133,7084.4875,-8.20031820396979,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.1632,0.0491237040718529,0.00569862987949161,-8.17816237189429,0.324274106039891,0.280213232820954,-8.45837560471525,-7.8538882658544,-0.00960461687299551,0.516470708225143,-8.14158988302494,0.367627033341754,0.329416750702904,-8.47100663372785,-7.77396284968319
