"","SiteName","data_type_id","Age","true_RSL","RSLer_up_2sd","Age_up_er_2sd","RSL_err","Age_err","AgeCE","CV_fold","test_set","NI_var_grid_term","pred_RSL","upr","lwr","y_post_pred","upr_PI","lwr_PI","CI","CV_fold_number","obs_in_PI","nseg","RMSE"
"24",",
 ","ProxyRecord",7822.5,-10.76462635,0.31669658463322,75.5249999999996,0.15834829231661,37.7624999999998,-5872.5,1,"test_set",0.0023801026692194,-10.6714833784699,-10.7257504932533,-10.6162504918024,-10.670879883817,-11.02961509106,-10.3096949592592,"95%","1",TRUE,5,0.195877395517457
"25",",
 ","ProxyRecord",7855.9875,-10.84533785,0.317178678190513,72.0124999999998,0.158589339095256,36.0062499999999,-5905.9875,1,"test_set",0.00242325053338988,-10.8335489697136,-10.894129550789,-10.7738597417217,-10.8263710506226,-11.1910849959781,-10.4815023560938,"95%","1",TRUE,5,0.195877395517457
"26",",
 ","ProxyRecord",7874.5,-10.92610014,0.317662308928226,77.5,0.158831154464113,38.75,-5924.5,1,"test_set",0.00244735441690125,-10.9244342845693,-10.9881044358396,-10.8623142308862,-10.9245136473909,-11.289209403322,-10.5837091779149,"95%","1",TRUE,5,0.195877395517457
"27",",
 ","ProxyRecord",7909.475,-11.12823582,0.318881930258435,73.5499999999993,0.159440965129217,36.7749999999996,-5959.475,1,"test_set",0.00249338070559268,-11.0986831367431,-11.1699923327574,-11.0299036143675,-11.1008586808595,-11.4490422898226,-10.7332926304393,"95%","1",TRUE,5,0.195877395517457
"28",",
 ","ProxyRecord",7985.025,-11.45261046,0.320852569852097,48.0250000000006,0.160426284926048,24.0125000000003,-6035.025,1,"test_set",0.00259497960009014,-11.486633003227,-11.5783380110876,-11.3979910402538,-11.4791270784046,-11.8358655715127,-11.1154744852726,"95%","1",TRUE,5,0.195877395517457
"29",",
 ","ProxyRecord",8079.5375,-11.57477541,0.32159807563747,108.537499999999,0.160799037818735,54.2687499999997,-6129.5375,1,"test_set",0.00272626923880637,-11.9948155685281,-12.1185982878994,-11.8722839793237,-11.9978881368231,-12.3462482802764,-11.6283732191591,"95%","1",FALSE,5,0.195877395517457
"30",",
 ","ProxyRecord",86.5125,-0.185732135,0.320420612992673,115.5125,0.160210306496337,57.75625,1863.4875,2,"test_set",0.000506447585658931,-0.17141701683636,-0.296380463272755,-0.0422588058229108,-0.166344561529676,-0.53264147635647,0.219711944241913,"95%","2",TRUE,5,0.195877395517457
"31",",
 ","ProxyRecord",106.975,-0.224759024,0.320425871285962,117.05,0.160212935642981,58.525,1843.025,2,"test_set",0.000494894826878062,-0.193362672402768,-0.311947798796368,-0.0708601217785592,-0.196273421549905,-0.564092062742772,0.180377330583186,"95%","2",TRUE,5,0.195877395517457
"32",",
 ","ProxyRecord",455.475,-0.498793716,0.319806047515963,262.525,0.159903023757982,131.2625,1494.525,2,"test_set",0.000325302708387154,-0.492172016303885,-0.603958443226284,-0.384559168466681,-0.497139131860472,-0.876103424510742,-0.136768451299245,"95%","2",TRUE,5,0.195877395517457
"33",",
 ","ProxyRecord",489.9125,-0.538023586,0.319819761943323,257.1375,0.159909880971662,128.56875,1460.0875,2,"test_set",0.000311330222557693,-0.514877435686591,-0.629313986488995,-0.403831968011957,-0.518152694456689,-0.904135853690471,-0.146867284188906,"95%","2",TRUE,5,0.195877395517457
"34",",
 ","ProxyRecord",3669.4875,-2.14043883,0.28892352842253,466.6125,0.144461764211265,233.30625,-1719.4875,2,"test_set",0.000520143707816167,-2.09927428514419,-2.15506305215369,-2.04111112652284,-2.09530815184603,-2.42455207764052,-1.76622672219198,"95%","2",TRUE,5,0.195877395517457
"35",",
 ","ProxyRecord",4137.85,-2.654812297,0.289803103947138,343.15,0.144901551973569,171.575,-2187.85,2,"test_set",0.000596192579094268,-2.62230917601523,-2.67262444491263,-2.57153163891908,-2.61844428615932,-2.96484800774917,-2.29073068522344,"95%","2",TRUE,5,0.195877395517457
"36",",
 ","ProxyRecord",5282.9875,-3.857965428,0.341436546111018,293.0125,0.170718273055509,146.50625,-3332.9875,2,"test_set",0.000677830741691032,-4.07664690867651,-4.12816312200815,-4.02488679879338,-4.07622702566458,-4.46641723621475,-3.71760643393023,"95%","2",TRUE,5,0.195877395517457
"37",",
 ","ProxyRecord",5357.5,-4.056556677,0.341902928643201,296.525,0.1709514643216,148.2625,-3407.5,2,"test_set",0.00069153083235296,-4.1791290992886,-4.22849163490499,-4.12906876485428,-4.17949266663071,-4.54349794962715,-3.81204706468886,"95%","2",TRUE,5,0.195877395517457
"38",",
 ","ProxyRecord",5419.475,-4.374432822,0.342692479157206,270.525,0.171346239578603,135.2625,-3469.475,2,"test_set",0.000704498251580254,-4.26604598123456,-4.31319967315233,-4.2164138003439,-4.27056088791019,-4.66141995816118,-3.87849621625185,"95%","2",TRUE,5,0.195877395517457
"39",",
 ","ProxyRecord",5425.5,-4.414179642,0.342794652632266,267.5,0.171397326316133,133.75,-3475.5,2,"test_set",0.000705835064374049,-4.27458402278315,-4.32146984106452,-4.22508993500975,-4.26760813363189,-4.65207512974089,-3.87562944514337,"95%","2",TRUE,5,0.195877395517457
