"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","lwr","upr","rate_pred","rate_lwr","rate_upr","CI","model","removalID","removalIDlabel"
"13858",",
 ","ProxyRecord",-396.087499999998,2346.0875,"BP",-1.12760797962939,-1.29984842122994,-0.970903857689921,0.390165203428971,0.0132389950409714,0.754516555748012,"95%","Set10_thinned_4","_4","n=4"
"13859",",
 ","ProxyRecord",-346.087499999999,2296.0875,"BP",-1.11091414022102,-1.29066634367524,-0.944604013953419,0.273946235784188,-0.0721117176758488,0.608755878540166,"95%","Set10_thinned_4","_4","n=4"
"13860",",
 ","ProxyRecord",-296.087499999999,2246.0875,"BP",-1.10028074939524,-1.27626490479078,-0.930009504208402,0.154780570230573,-0.222382577321955,0.536357329283441,"95%","Set10_thinned_4","_4","n=4"
"13861",",
 ","ProxyRecord",-246.087499999999,2196.0875,"BP",-1.09509018764213,-1.27327006602637,-0.921954856961033,0.0563057155532377,-0.382069042664206,0.514438066408297,"95%","Set10_thinned_4","_4","n=4"
"13862",",
 ","ProxyRecord",-196.087499999998,2146.0875,"BP",-1.09430421159957,-1.27093270055781,-0.927094605702897,-0.0214028581915323,-0.52040833272922,0.495630662564908,"95%","Set10_thinned_4","_4","n=4"
"13863",",
 ","ProxyRecord",-146.087499999998,2096.0875,"BP",-1.09688450722094,-1.27005042552949,-0.931465035355104,-0.0783451510037987,-0.625099903121263,0.484523790685539,"95%","Set10_thinned_4","_4","n=4"
"13864",",
 ","ProxyRecord",-96.0874999999986,2046.0875,"BP",-1.10179276045962,-1.2783667765972,-0.931341388737048,-0.114521162883831,-0.68396301404511,0.484069945797032,"95%","Set10_thinned_4","_4","n=4"
"13865",",
 ","ProxyRecord",-46.0874999999987,1996.0875,"BP",-1.10799065726899,-1.28742994539123,-0.930791878155211,-0.129930893831336,-0.705515940609481,0.470139279021944,"95%","Set10_thinned_4","_4","n=4"
"13866",",
 ","ProxyRecord",3.9125000000011,1946.0875,"BP",-1.11443988360242,-1.30014705303189,-0.928381612720563,-0.124574343846581,-0.673691371080027,0.456340036363427,"95%","Set10_thinned_4","_4","n=4"
"13867",",
 ","ProxyRecord",53.9125000000018,1896.0875,"BP",-1.1201021254133,-1.31431559297641,-0.921364721096762,-0.0984515129291518,-0.621658856338232,0.453328311242799,"95%","Set10_thinned_4","_4","n=4"
"13868",",
 ","ProxyRecord",103.912500000002,1846.0875,"BP",-1.123939068655,-1.32771951028159,-0.919024116263575,-0.0515624010794062,-0.529194524782003,0.443714833074132,"95%","Set10_thinned_4","_4","n=4"
"13869",",
 ","ProxyRecord",153.912500000001,1796.0875,"BP",-1.12491239928091,-1.33369173692853,-0.913114265345172,0.0160929917026956,-0.403920552570205,0.442550004161074,"95%","Set10_thinned_4","_4","n=4"
"13870",",
 ","ProxyRecord",203.912500000001,1746.0875,"BP",-1.1219838032444,-1.33481698040348,-0.907627677567852,0.104514665417267,-0.241239257176991,0.47424967872377,"95%","Set10_thinned_4","_4","n=4"
"13871",",
 ","ProxyRecord",253.912500000001,1696.0875,"BP",-1.11411579899408,-1.32453599622839,-0.897189898065748,0.213332053544405,-0.113017165637369,0.550712305265684,"95%","Set10_thinned_4","_4","n=4"
"13872",",
 ","ProxyRecord",303.912500000002,1646.0875,"BP",-1.10075494588959,-1.30402527295197,-0.889822938767694,0.317907512710388,-0.0625743715682865,0.712063610126174,"95%","Set10_thinned_4","_4","n=4"
"13873",",
 ","ProxyRecord",353.912500000002,1596.0875,"BP",-1.082644120475,-1.27233291964889,-0.885411303718444,0.403330945948323,-0.0566348742003925,0.864054061269103,"95%","Set10_thinned_4","_4","n=4"
"13874",",
 ","ProxyRecord",403.912500000001,1546.0875,"BP",-1.06074092404671,-1.23922390353554,-0.878994999211091,0.469602353258592,-0.0596672378015928,0.992266772758033,"95%","Set10_thinned_4","_4","n=4"
"13875",",
 ","ProxyRecord",453.912500000001,1496.0875,"BP",-1.03600295790111,-1.19790283477849,-0.873335813487838,0.516721734640582,-0.0532264112556016,1.09101376527057,"95%","Set10_thinned_4","_4","n=4"
