tosave_1,tosave_2,tosave_3,tosave_4,tosave_5,tosave_6,tosave_7,tosave_8,
sampleID,LAT,MLWS,MLWN,MTL,MHWN,MHWS,HAT,StudySite
TR 4-0.25,-0.18372,-0.12689,-0.082184,-0.012123,0.060887,0.099693,0.14622,Turneffe Island
TR 4-1.35,-0.18372,-0.12689,-0.082184,-0.012123,0.060887,0.099693,0.14622,Turneffe Island
TR 4-3.125,-0.18372,-0.12689,-0.082184,-0.012123,0.060887,0.099693,0.14622,Turneffe Island
TR 5-0.45,-0.18344,-0.12697,-0.082134,-0.011963,0.061266,0.099991,0.14741,Turneffe Island
TR 5-1.15,-0.18344,-0.12697,-0.082134,-0.011963,0.061266,0.099991,0.14741,Turneffe Island
LR 7-4.9,-0.1858,-0.1284,-0.083469,-0.012419,0.06175,0.10045,0.14693,Lighthouse Reef
LR 7-6.3,-0.1858,-0.1284,-0.083469,-0.012419,0.06175,0.10045,0.14693,Lighthouse Reef
LR 10-3.775,-0.18518,-0.12812,-0.083196,-0.012228,0.061834,0.10057,0.14753,Lighthouse Reef
LR 11-0.6,-0.18558,-0.12842,-0.083374,-0.012251,0.062044,0.10074,0.14781,Lighthouse Reef
LR 11-5.4,-0.18558,-0.12842,-0.083374,-0.012251,0.062044,0.10074,0.14781,Lighthouse Reef
LR 12-2.125,-0.18585,-0.12861,-0.083513,-0.012132,0.062372,0.10122,0.1487,Lighthouse Reef
LR 12-2.375,-0.18585,-0.12861,-0.083513,-0.012132,0.062372,0.10122,0.1487,Lighthouse Reef
LR 12-5.475,-0.18585,-0.12861,-0.083513,-0.012132,0.062372,0.10122,0.1487,Lighthouse Reef
LR 13-8.05,-0.18558,-0.12842,-0.083374,-0.012251,0.062044,0.10074,0.14781,Lighthouse Reef
LR 14-0.475,-0.18572,-0.1285,-0.083461,-0.012322,0.061873,0.1008,0.14768,Lighthouse Reef
LR 14-2.675,-0.18572,-0.1285,-0.083461,-0.012322,0.061873,0.1008,0.14768,Lighthouse Reef
BBR 1-2.1,-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,Tobacco Cay
BBR 1-6.425,-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,Tobacco Cay
BBR 1-10.075,-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,Tobacco Cay
BBR 1-13.5,-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,Tobacco Cay
BBR 2-3.275,-0.18308,-0.12574,-0.080534,-0.012122,0.059749,0.098031,0.14389,Emily
BBR 2-4.225,-0.18308,-0.12574,-0.080534,-0.012122,0.059749,0.098031,0.14389,Emily
BBR 3-0.425,-0.18423,-0.12618,-0.079944,-0.011869,0.059391,0.099257,0.14705,Rendezvous Cay
BBR 4-0.75,-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,Gallow's Point Reef
BBR 4-2.575,-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,Gallow's Point Reef
BBR 4-11.6,-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,Gallow's Point Reef
BBR 5-2,-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,Gladden spit
BBR 5-3.875,-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,Gladden spit
BBR 5-8.25,-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,Gladden spit
BBR 5-13.925,-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,Gladden spit
BBR 6-0.625,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
BBR 7-4.95,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
BBR 7-8,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
BBR 8-15.9,-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,Nicholas Cay
BBR 8-18.5,-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,Nicholas Cay
BBR 9-11.45,-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,Ranguana Cay
BBR 9-13,-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,Ranguana Cay
OS-37476,-0.18188,-0.12249,-0.075913,-0.011663,0.056475,0.095278,0.14411,Twin Cays
OS-40695,-0.18188,-0.12249,-0.075913,-0.011663,0.056475,0.095278,0.14411,Twin Cays
OS-40696,-0.18188,-0.12249,-0.075913,-0.011663,0.056475,0.095278,0.14411,Twin Cays
OS-37475,-0.18188,-0.12249,-0.075913,-0.011663,0.056475,0.095278,0.14411,Twin Cays
OS-37477,-0.18188,-0.12249,-0.075913,-0.011663,0.056475,0.095278,0.14411,Twin Cays
491,-0.1830276,-0.1270151,-0.08143524,-0.01126491,0.06183802,0.1015527,0.1506464,Ambergris Cay
663,-0.1828759,-0.1267306,-0.08103818,-0.01116402,0.06173719,0.1013755,0.1507555,Ambergris Cay
465,-0.1829534,-0.1268199,-0.08124831,-0.01131524,0.06147515,0.1013321,0.1504858,Ambergris Cay
TR 4-1.1,-0.18371,-0.12688,-0.082179,-0.012115,0.06089,0.099707,0.14624,"Soldier Cay, Turneffe Atoll"
TR 5-2.7,-0.18372,-0.12723,-0.082322,-0.01197,0.061468,0.10021,0.1477,"Three Corner Cay, Turneffe Atoll"
TR 4-1.1,-0.18371,-0.12688,-0.082179,-0.012115,0.06089,0.099707,0.14624,Glover's Reef
TR 5-2.7,-0.18372,-0.12723,-0.082322,-0.01197,0.061468,0.10021,0.1477,Glover's Reef
GR 3-1.25,-0.18379,-0.12666,-0.08227,-0.012416,0.061071,0.098198,0.1424,Glover's Reef
LR 7-2,-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,Lighthouse Reef
LR 7-3.5,-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,Lighthouse Reef
LR 7-5.1,-0.1858,-0.12839,-0.083548,-0.012455,0.061721,0.1004,0.14684,Lighthouse Reef
