Site,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_er_max,Age_er_min,Type,Indicator,SubRegion_No
Belize_1,17.86761,-88.04587,-0.857871205,0.230167796,0.230167796,612,629,629,-1,1,1
Belize_1,17.86815,-88.05989,-4.353734626,0.241292231,0.241292231,2244,1411,1411,-1,1,1
Belize_1,17.87431,-88.04948,-3.307307718,0.236046658,0.236046658,2502,1433,1433,-1,1,1
Belize_1,17.8657,-88.05373,-3.834784628,0.235405231,0.235405231,2658,1499,1499,-1,1,1
Belize_1,17.96957,-88.0861,-1.088775833,0.295585845,0.295585845,3117,1494,1494,0,1,1
Belize_1,17.8657,-88.05373,-5.047735076,0.24147708,0.24147708,4874,1420,1420,-1,1,1
Belize_1,17.86995,-88.04873,-5.163693077,0.242161299,0.242161299,5006,1455,1455,-1,1,1
Belize_1,17.97122,-88.08158,-1.758884822,0.287762445,0.287762445,5703,1460,1460,0,1,1
Belize_1,17.93425,-88.14624,-4.028677558,0.299647477,0.299647477,5981,1433,1433,0,1,1
Belize_1,17.86761,-88.04587,-3.966654797,0.297059,0.297059,6720,1250,1250,0,1,1
Belize_1,17.87431,-88.04948,-4.876580382,0.289255149,0.289255149,6508,1427,1427,0,1,1
Belize_1,17.94833,-88.12242,-3.480208287,0.293553551,0.293553551,6700,1240,1240,0,1,1
Belize_1,17.93758,-88.07111,-4.497616768,0.301467072,0.301467072,7159,1232,1232,0,1,1
Belize_1,17.97122,-88.08158,-3.283545356,0.295583348,0.295583348,7173,1239,1239,0,1,1
Belize_3,17.30281,-87.83093,-0.604878715,0.296822438,0.296822438,841,853,853,0,1,3
Belize_3,17.30281,-87.83093,-1.509058199,0.238144617,0.238144617,1708,1240,1240,-1,1,3
Belize_3,17.30281,-87.83093,-3.155718748,0.241484068,0.241484068,4876,1428,1428,-1,1,3
Belize_3,17.30281,-87.83093,-4.298893807,0.302807346,0.302807346,5348.5,1443.5,1443.5,0,1,3
Belize_3,17.30281,-87.83093,-4.149304663,0.30239649,0.30239649,6387.5,1330.5,1330.5,0,1,3
Belize_4,16.829843,-88.105838,-0.489813813,0.442787452,0.442787452,666,678,678,0,1,4
Belize_4,16.829215,-88.106504,-0.5477581,0.391956273,0.391956273,757,769,769,0,1,4
Belize_5,16.661201,-88.183934,-0.604878715,0.296822438,0.296822438,837,849,849,0,1,5
Belize_4,16.831119,-88.101389,-0.808761489,1.115785195,1.115785195,904,916,916,0,1,4
Belize_4,16.830873,-88.107373,-1.660290584,0.783230907,0.783230907,1541,1231,1231,0,1,4
Belize_4,16.830817,-88.101729,-3.11475894,1.111622559,1.111622559,2628,1450,1450,0,1,4
Belize_4,16.830817,-88.101729,-1.91592997,1.110657169,1.110657169,2719,1427,1427,0,1,4
Belize_4,16.831119,-88.101389,-2.115779037,1.110781584,1.110781584,3130,1498,1498,0,1,4
Belize_4,16.830873,-88.107373,-4.057522935,0.785077244,0.785077244,4029,1535,1535,0,1,4
Belize_4,16.829215,-88.106504,-3.244410919,0.407831292,0.407831292,4590,1514,1514,0,1,4
Belize_4,16.830754,-88.105715,-3.985718683,0.458603017,0.458603017,5429,1460,1460,0,1,4
Belize_4,16.829215,-88.106504,-6.237699439,0.409346414,0.409346414,6805,1216,1216,0,1,4
Belize_4,16.830817,-88.101729,-8.991806311,1.132106206,1.132106206,6812,1216,1216,0,1,4
Belize_4,16.830873,-88.107373,-7.22748594,0.805659715,0.805659715,6813,1219,1219,0,1,4
Belize_4,16.830754,-88.105715,-6.779624536,0.459427936,0.459427936,7132,1222,1222,0,1,4
Belize_4,16.830873,-88.107373,-9.024456062,0.805239491,0.805239491,7572,1286,1286,0,1,4
Belize_4,16.829215,-88.106504,-9.724708756,0.414913496,0.414913496,7638,1338,1338,0,1,4
Belize_4,16.830754,-88.105715,-8.374804915,0.457715485,0.457715485,7714,1310,1310,0,1,4
Belize_2,17.4179,-88.06963,-0.359957531,0.296743622,0.296743622,633,645,645,0,1,2
Belize_2,17.4179,-88.06963,-1.269461638,0.297239515,0.297239515,1148,1154,1154,0,1,2
Belize_2,17.4179,-88.06963,-2.388095074,0.298606079,0.298606079,843,855,855,0,1,2
Belize_2,17.4179,-88.06963,-3.246492432,0.300208721,0.300208721,2265,1344,1344,0,1,2
Belize_2,17.4179,-88.06963,-3.954818508,0.301882645,0.301882645,6704,1235,1235,0,1,2
Belize_2,17.4179,-88.06963,-4.752565802,0.304135351,0.304135351,6627,1312,1312,0,1,2
Belize_2,17.4179,-88.06963,-5.250967617,0.305733536,0.305733536,7029,1275,1275,0,1,2
Belize_2,17.4179,-88.06963,-6.346961308,0.309739845,0.309739845,4871,1618,1618,0,1,2
Belize_2,17.4179,-88.06963,-7.243210042,0.313491111,0.313491111,7915,1356,1356,0,1,2
Belize_4,16.829924,-88.105889,-0.539804215,0.442797049,0.442797049,684,696,696,0,1,4
Belize_4,16.829924,-88.105889,-1.61473138,0.420299932,0.420299932,3250,1544,1544,0,1,4
Belize_4,16.829924,-88.105889,-2.347916184,0.456405516,0.456405516,5291,1444,1444,0,1,4
Belize_4,16.829924,-88.105889,-3.037131801,0.457189899,0.457189899,6010,1411,1411,0,1,4
Belize_4,16.829924,-88.105889,-4.335413691,0.453638782,0.453638782,6953,1226,1226,0,1,4
Belize_4,16.829924,-88.105889,-4.734637072,0.454415401,0.454415401,7165,1230,1230,0,1,4
Belize_4,16.829924,-88.105889,-6.281335953,0.451184447,0.451184447,7627,1341,1341,0,1,4
Belize_4,16.829924,-88.105889,-7.234116549,0.426596605,0.426596605,8075,1332,1332,0,1,4
Belize_3,17.441901,-87.839003,-0.739779928,0.245476443,0.245476443,2720,1426,1426,0,1,3
