component,modelID,df2s,dsd2s,yearBP,siteID,model_ranking
1,1,10.8981855969503,5.20629181776621,15068,2,1
1,1,12.0797144207871,5.15571382009297,14968,2,1
1,1,13.3153899664361,5.05354607395454,14868,2,1
1,1,14.6036945296894,4.90273831872733,14768,2,1
1,1,15.9427573209873,4.71124208791751,14668,2,1
1,1,17.3302791394712,4.49306673387037,14568,2,1
1,1,18.7583518953319,4.26835148448255,14468,2,1
1,1,20.1821706402442,4.05788517621529,14368,2,1
1,1,21.5015107063949,3.87639341471027,14268,2,1
1,1,22.5897696194006,3.73234638014876,14168,2,1
1,1,23.3266884151788,3.63009106378642,14068,2,1
1,1,23.6208214070637,3.56995228420955,13968,2,1
1,1,23.4226811504713,3.54682519751719,13868,2,1
1,1,22.7322377467644,3.54999309965591,13768,2,1
1,1,21.5997068368678,3.56562618792529,13668,2,1
1,1,20.1253811109556,3.58168017238767,13568,2,1
1,1,18.4481447776046,3.59277981703021,13468,2,1
1,1,16.704404401133,3.60025960102792,13368,2,1
1,1,14.9980770667829,3.60681883162565,13268,2,1
1,1,13.3972806081432,3.61245646236016,13168,2,1
1,1,11.9362898465887,3.61462183208283,13068,2,1
1,1,10.6254068687558,3.6107854799948,12968,2,1
1,1,9.46569256789281,3.60089989337055,12868,2,1
1,1,8.46144716025797,3.58977937037009,12768,2,1
1,1,7.62446749385677,3.58901673339839,12668,2,1
1,1,6.96731503898281,3.61593416699285,12568,2,1
1,1,6.49829706771992,3.68733730437642,12468,2,1
1,1,6.22114322684588,3.81236754194824,12368,2,1
1,1,6.1350307796476,3.98862407126307,12268,2,1
1,1,6.23455833582435,4.20319687688129,12168,2,1
1,1,6.50889408078281,4.4370445041705,12068,2,1
1,1,6.93877091847123,4.66884134416704,11968,2,1
1,1,7.49671083803866,4.87751498574438,11868,2,1
1,1,8.15402586543583,5.04697122770047,11768,2,1
1,1,8.88452288043797,5.16766346351332,11668,2,1
1,1,9.66454733731106,5.23546749626721,11568,2,1
1,1,10.4728044910903,5.25055926007634,11468,2,1
1,1,11.290196076996,5.216560816798,11368,2,1
1,1,12.099671685677,5.13992399382616,11268,2,1
1,1,12.8860941328492,5.02948173140911,11168,2,1
1,1,13.6361181850918,4.8960783799172,11068,2,1
1,1,14.3380820617336,4.75217475193542,10968,2,1
1,1,14.9819111922907,4.61129853192293,10868,2,1
1,1,15.559033759383,4.48720064456305,10768,2,1
1,1,16.0623076096573,4.39262277870125,10668,2,1
1,1,16.4859581596637,4.33773602606975,10568,2,1
1,1,16.8255269664165,4.32855973371111,10468,2,1
1,1,17.0778306688485,4.3658739509351,10368,2,1
1,1,17.2409300346766,4.4450764486703,10268,2,1
1,1,17.3141088719852,4.55705005084024,10168,2,1
1,1,17.2978625756013,4.689674588461,10068,2,1
1,1,17.1938960748399,4.82944921900808,9968,2,1
1,1,17.0051309402264,4.96283979603552,9868,2,1
1,1,16.7357213562238,5.07722510568501,9768,2,1
1,1,16.39107669994,5.16150029680252,9668,2,1
1,1,15.9777365744254,5.2064352728677,9568,2,1
1,1,15.502668039063,5.20480197643404,9468,2,1
1,1,14.9727818429144,5.15153368021361,9368,2,1
1,1,14.3949206970259,5.04414800472305,9268,2,1
1,1,13.7758886351529,4.88346972193626,9168,2,1
1,1,13.1224724004744,4.67474828090358,9068,2,1
1,1,12.4414521833137,4.42925915387478,8968,2,1
1,1,11.7396735961642,4.16599661321795,8868,2,1
1,1,11.024769720356,3.90964827660482,8768,2,1
1,1,10.3060746900132,3.68404362122228,8668,2,1
1,1,9.59471469928046,3.50641041605967,8568,2,1
1,1,8.90349617875182,3.38297010343761,8468,2,1
1,1,8.24676610704046,3.30793862428084,8368,2,1
1,1,7.64021274806466,3.26747679038148,8268,2,1
1,1,7.10056205458008,3.24701840634176,8168,2,1
1,1,6.64423873330001,3.2379592569031,8068,2,1
1,1,6.27526273991447,3.23856636747305,7968,2,1
1,1,5.94014409991447,3.24703436593854,7868,2,1
1,1,5.57163318407722,3.24629199140033,7768,2,1
1,1,5.13074054015334,3.19487489319564,7668,2,1
1,1,4.69344862633385,3.10101899766992,7568,2,1
